Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,292800,21084528,DFND
ALPHABET INC,02079K305,274620,49997317,DFND
AUTOHOME INC,05278C107,93000,2552850,DFND
BANK NOVA SCOTIA,064149107,289100,13214427,DFND
BERKSHIRE HATHAWAY INC,084670108,1,612000,DFND
BLACKBERRY LTD,09228F103,46724700,116344503,DFND
BRP INC,05577W200,21200,1346351,DFND
CAPRI HOLDINGS LTD,G1890L107,202100,6679405,DFND
COLLIERS INTL GROUP INC,194693107,25000,2773779,DFND
FRANCO NEV CORP,351858105,13800,1630162,DFND
FRANKLIN RESOURCES INC,354613101,1000000,22380000,DFND
GARRETT MOTION INC,366505105,285760,2454678,DFND
GENERAL MOTORS CO,37045V100,375965,17459815,DFND
GENTEX CORP,371901109,85000,2864500,DFND
HELMERICH & PAYNE INC,423452101,555105,20061495,DFND
INTEL CORP,458140100,190000,5878600,DFND
JOHNSON & JOHNSON,478160104,73400,10724474,DFND
KENNEDY-WILSON HOLDINGS INC,489398107,13322009,129356707,DFND
KKR & CO INC,48251W104,23500,2476900,DFND
LIBERTY BROADBAND CORP,530307305,14780,810092,DFND
MAGNACHIP SEMICONDUCTOR CORP,55933J203,125000,608750,DFND
MERCK & CO INC,58933Y105,172900,21394646,DFND
META PLATFORMS INC,30303M102,12800,6449792,DFND
MGM RESORTS INTERNATIONAL,552953101,29500,1311275,DFND
MICRON TECHNOLOGY INC,595112103,40100,5273150,DFND
OCCIDENTAL PETE CORP,674599105,6020418,379165926,DFND
ORLA MINING LTD,68634K106,55655229,213127781,DFND
PFIZER INC,717081103,460900,12895982,DFND
PNM RES INC,69349H107,17000,628150,DFND
RESTAURANT BRANDS INTL INC,76131D103,42000,2945080,DFND
SPIRIT AEROSYSTEMS HLDGS INC,848574109,152000,4994720,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,141700,24631711,DFND
TEGNA INC,87901J105,32000,445760,DFND
TFI INTERNATIONAL INC,87241L109,13300,1919065,DFND
UNDER ARMOUR INC,904311107,4223700,28172079,DFND
UNITED STATES STL CORP,912909108,8900,336242,DFND
VANGUARD INDEX FDS,922908363,95000,47503800,DFND
XERIS BIOPHARMA HOLDINGS INC,98422E103,170937,382899,DFND
