Company,CUSIP,Shares,Value,Discretion
ALLIANCE RESOURCE PARTNERS L,01877R108,117000,2345850,SOLE
AMERICAN AXLE & MFG HLDGS IN,024061103,198355,1459893,SOLE
AT&T INC,00206R102,588000,10348800,SOLE
BOISE CASCADE CO DEL,09739D100,40000,6134800,SOLE
BREAD FINANCIAL HOLDINGS INC,018581108,254770,9487635,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,60000,3253800,SOLE
BUCKLE INC,118440106,150000,6040500,SOLE
CHORD ENERGY CORPORATION,674215207,34670,6179581,SOLE
CLEVELAND-CLIFFS INC NEW,185899101,9198,209163,SOLE
CONDUENT INC,206787103,718600,2428868,SOLE
CTO RLTY GROWTH INC NEW,22948Q101,443900,7524105,SOLE
ENCORE WIRE CORP,292562105,11000,2890580,SOLE
FOSSIL GROUP INC,34988V106,1091750,1113585,SOLE
GANNETT CO INC,36472T109,2468575,6023323,SOLE
GEO GROUP INC NEW,36162J106,145000,2047400,SOLE
GRAY TELEVISION INC,389375106,489188,3091668,SOLE
JACKSON FINANCIAL INC,46817M107,152610,10093625,SOLE
LINCOLN NATL CORP IND,534187109,198990,6353751,SOLE
MICROSTRATEGY INC,594972AC5,2650000,11355250,SOLE
NABORS INDUSTRIES LTD,G6359F137,69761,6008515,SOLE
ONEMAIN HLDGS INC,68268W103,153000,7816770,SOLE
PITNEY BOWES INC,724479100,40584,175729,SOLE
QUAD / GRAPHICS INC,747301109,1430300,7594893,SOLE
STELLANTIS N.V,N82405106,430000,12169000,SOLE
TECHNIPFMC PLC,G87110105,8185,205525,SOLE
TEVA PHARMACEUTICAL INDS LTD,881624209,11600,163676,SOLE
TUTOR PERINI CORP,901109108,214560,3102538,SOLE
UGI CORP NEW,902681105,167000,4098180,SOLE
VIATRIS INC,92556V106,619000,7390860,SOLE
WESTERN ALLIANCE BANCORP,957638109,144305,9262938,SOLE
