Company,CUSIP,Shares,Value,Discretion,PutCall
Applovin Corp,03831W108,89458,31317,DFND,
Banco Macro Sa,05961W105,220900,15509,DFND,
Bank America Corp,060505104,341900,16179,DFND,
Barclays Plc,06738E204,1549950,28814,DFND,
Bbb Foods Inc,G0896C103,360550,10009,DFND,
Broadcom Inc,11135F101,86140,23744,DFND,
Builders Firstsource Inc,12008R107,85065,9926,DFND,
Bwx Technologies Inc,05605H100,76475,11017,DFND,
Caesars Entertainment Inc Ne,12769G100,1395875,39629,DFND,
Carpenter Technology Corp,144285103,126635,34999,DFND,
Ccc Intelligent Solutions Hl,12510Q100,1007944,9485,DFND,
Chemours Co,163851108,421800,4830,DFND,
Chime Finl Inc,16935C109,466825,16110,DFND,
Citigroup Inc,172967424,666300,56715,DFND,
Coherent Corp,19247G107,1157840,103291,DFND,
Corning Inc,219350105,623145,32771,DFND,
Coupang Inc,22266T109,4105424,122999,DFND,
D R Horton Inc,23331A109,77400,9978,DFND,
Daktronics Inc,234264109,3076224,46513,DFND,
Danaher Corporation,235851102,24700,4879,DFND,
Delta Air Lines Inc Del,247361702,793510,39025,DFND,
Docusign Inc,256163106,1290440,100512,DFND,
Elbit Sys Ltd,M3760D101,18287,8220,DFND,
Eli Lilly & Co,532457108,100675,78479,DFND,
Enliven Therapeutics Inc,29337E102,463000,9288,DFND,
Entegris Inc,29362U104,1645885,132741,DFND,
Eqt Corp,26884L109,1252700,73057,DFND,
Flutter Entmt Plc,G3643J108,405320,115771,DFND,
Freeport-Mcmoran Inc,35671D857,224800,9745,DFND,
Global X Fds,37950E259,267700,22682,DFND,
Goldman Sachs Group Inc,38141G104,42000,29726,DFND,
Grupo Financiero Galicia S.A,399909100,231481,11664,DFND,
Hasbro Inc,418056107,281100,20751,DFND,
Illumina Inc,452327109,300615,28682,DFND,
Insmed Inc,457669307,2253435,226786,DFND,
Insmed Inc,457669307,100000,10064,DFND,Call
Ishares Inc,464286400,738800,21314,DFND,
Ishares Tr,464287655,335000,72290,DFND,Call
Joby Aviation Inc,G65163100,31489,332,DFND,
Kinder Morgan Inc Del,49456B101,1071665,31507,DFND,
Lennar Corp,526057104,89900,9944,DFND,
Mercadolibre Inc,58733R102,53725,140417,DFND,
Microsoft Corp,594918104,200930,99945,DFND,
Natera Inc,632307104,3085190,521212,DFND,
Natera Inc,632307104,114500,19344,DFND,Call
Newamsterdam Pharma Company,N62509109,832175,15071,DFND,
Nu Hldgs Ltd,G6683N103,3415365,46859,DFND,
Option Care Health Inc,68404L201,636850,20685,DFND,
Philip Morris Intl Inc,718172109,815975,148614,DFND,
Purecycle Technologies Inc,74623V103,2303084,31552,DFND,
Restaurant Brands Intl Inc,76131D103,751010,49784,DFND,
Roku Inc,77543R102,1100500,96723,DFND,
Sea Ltd,81141R100,309730,49538,DFND,
Seagate Technology Hldngs Pl,G7997R103,197490,28504,DFND,
Select Sector Spdr Tr,81369Y605,985300,51600,DFND,
Spdr S&P 500 Etf Tr,78462F103,90000,55607,DFND,Call
Taiwan Semiconductor Mfg Ltd,874039100,765085,173284,DFND,
Teva Pharmaceutical Inds Ltd,881624209,15968935,267639,DFND,
Thermo Fisher Scientific Inc,883556102,12200,4947,DFND,
Twilio Inc,90138F102,200475,24931,DFND,
United Airls Hldgs Inc,910047109,377120,30030,DFND,
Unity Software Inc,91332U101,1774050,42932,DFND,
Verona Pharma Plc,925050106,1002080,94777,DFND,
Viking Therapeutics Inc,92686J106,549295,14556,DFND,
Wabtec,929740108,170510,35696,DFND,
Warner Bros Discovery Inc,934423104,6537160,74916,DFND,
Woodward Inc,980745103,848910,208059,DFND,
Xpo Inc,983793100,163100,20598,DFND,
Ypf Sociedad Anonima,984245100,703995,22141,DFND,
