Company,CUSIP,Shares,Value,Discretion,PutCall
APPLE INC,037833100,2400,694464,SOLE,
BANK OZK,06417N103,921252,47988026,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,11,8237350,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,87852,43960262,SOLE,
ENTERPRISE PRODS PARTNERS L,293792107,5455800,200555208,SOLE,
HOME BANCSHARES INC,436893200,12100,345455,SOLE,
KRAFT HEINZ CO,500754106,202300,4778326,SOLE,
PFIZER INC,717081103,231000,5562480,SOLE,
PROGRESSIVE CORP,743315103,72200,15772090,SOLE,
ST JOE CO,790148100,18182367,1138761645,SOLE,
THE CAMPBELLS COMPANY,134429109,116500,2594455,SOLE,
UNITED PARCEL SVCS INC,911312106,23800,2558500,SOLE,
WR Berkley Corp,084423102,256350,18080365,SOLE,
