Company,CUSIP,Shares,Value,Discretion
AIRBNB INC,009066101,2917733,348552384,SOLE
AMERICAN TOWER CORP NEW,03027X100,2589192,563408179,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,15175,8081901,SOLE
BROOKFIELD CORP,11271J107,19094021,1000717618,SOLE
CCC INTELLIGENT SOLUTIONS HL,12510Q100,13190384,119109168,SOLE
CARMAX INC,143130102,205275,15995028,SOLE
COSTAR GROUP INC,22160N109,9313592,737915894,SOLE
DANAHER CORPORATION,235851102,1775400,363957000,SOLE
DIGITALBRIDGE GROUP INC,25401T603,164740,1453003,SOLE
GOOSEHEAD INS INC,38267D109,366125,43224717,SOLE
KKR & CO L P DEL,48251w104,8847564,1022866823,SOLE
MASTERCARD INCORPORATED,57636Q104,3331076,1825829377,SOLE
MOODYS CORP,615369105,2435458,1134168436,SOLE
OREILLY AUTOMOTIVE INC,67103H107,863910,1237620188,SOLE
ROPER TECHNOLOGIES INC,776696106,1449188,854412261,SOLE
SOPHIA GENETICS SA,H82027105,2237504,7428513,SOLE
VERISK ANALYTICS INC,92345Y106,10139,3017569,SOLE
VISA INC,92826C839,3175240,1112794610,SOLE
