Company,CUSIP,Shares,Value,Discretion
ACUITY INC,00508Y102,1098485,289286025,SOLE
AFFIRM HLDGS INC,00827B106,6580882,297390058,SOLE
ALIGNMENT HEALTHCARE INC,01625V104,3589745,66841052,SOLE
API GROUP CORP,00187Y100,8911171,318663475,SOLE
APPLOVIN CORP,03831W108,335558,88912803,SOLE
AURORA INNOVATION INC,051774107,14922269,100352259,SOLE
BIRKENSTOCK HOLDING PLC,M2029K104,326630,14975986,SOLE
BOOKING HOLDINGS INC,09857L108,92883,427903622,SOLE
BRIGHT HORIZONS FAM SOL IN D,109194100,568078,72168629,SOLE
CARVANA CO,146869102,1932972,404145786,SOLE
CHEWY INC,16679L109,351266,11419658,SOLE
CLEAR SECURE INC,18467V109,2959190,76672613,SOLE
COLLIERS INTL GROUP INC,194693107,2972757,360595424,SOLE
COUPANG INC,22266T109,23009002,504587414,SOLE
DESCARTES SYS GROUP INC,249906108,2818757,284215268,SOLE
DOORDASH INC,25809K105,1026649,187640638,SOLE
DUOLINGO INC,26603R106,1694283,526142643,SOLE
ENTEGRIS INC,29362U104,2914417,254953199,SOLE
ESAB CORPORATION,29605J106,979119,114067364,SOLE
FERGUSON ENTERPRISES INC,31488V107,730754,117088713,SOLE
FIRSTSERVICE CORP NEW,33767E202,2156713,357906522,SOLE
FLUTTER ENTMT PLC,G3643J108,211016,46750595,SOLE
HUBSPOT INC,443573100,847463,484147137,SOLE
IDEXX LABS INC,45168D104,364757,153179702,SOLE
INTUIT,461202103,697567,428299162,SOLE
ISHARES TR,464287655,1263352,252026090,SOLE
KARMAN HLDGS INC,485924104,575000,19216500,SOLE
MASIMO CORP,574795100,1125619,187528125,SOLE
MERCADOLIBRE INC,58733R102,57958,113068523,SOLE
MOLINA HEALTHCARE INC,60855R100,541605,178399271,SOLE
MONDAY COM LTD,M7S64H106,186312,45303626,SOLE
ON HLDG AG,H5919C104,2265569,99503790,SOLE
OPTION CARE HEALTH INC,68404L201,3516589,122904786,SOLE
OUTSET MED INC,690145206,1740216,19246789,SOLE
PRIVIA HEALTH GROUP INC,74276R102,11487843,257902075,SOLE
PROCORE TECHNOLOGIES INC,74275K108,825120,54474422,SOLE
PTC INC,69370C100,235065,36423322,SOLE
RBC BEARINGS INC,75524B104,2631346,846688202,SOLE
RH,74967X103,286996,67274732,SOLE
ROBLOX CORP,771049103,3466575,202066657,SOLE
ROPER TECHNOLOGIES INC,776696106,564799,332994194,SOLE
SERVICETITAN INC,81764X103,516403,49115089,SOLE
SHIFT4 PMTS INC,82452J109,5919793,483706286,SOLE
SHOPIFY INC,82509L107,4275819,408255198,SOLE
SWEETGREEN INC,87043Q108,4525109,113218227,SOLE
TOAST INC,888787108,10836694,359453140,SOLE
VSE CORP,918284100,865017,103793390,SOLE
WARBY PARKER INC,93403J106,10212383,186171742,SOLE
WEST PHARMACEUTICAL SVSC INC,955306105,1573119,352189882,SOLE
WIX COM LTD,M98068105,580808,94892411,SOLE
XPO INC,983793100,2005297,215729851,SOLE
