Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K305,75000,23475000,SOLE
AMRIZE LTD,H2927K103,880000,47590400,SOLE
APOLLO GLOBAL MANAGEMENT INC,03769M106,1337000,193544120,SOLE
ARBOR REALTY TRUST INC,038923108,1560000,12105600,SOLE
ASHLAND INC,044186104,1700000,99739000,SOLE
ATLAS ENERGY SOLUTIONS INC,642045108,5053474,47603725,SOLE
DIAMEDICA THERAPEUTICS INC,25253X207,2020000,16079200,SOLE
ELEVANCE HEALTH INC,036752103,340900,119502495,SOLE
ENERGY TRANSFER LP,29273V100,13320100,219648449,SOLE
ENTERPRISE PRODUCTS PARTNERS,293792107,1373755,44042585,SOLE
FIDELIS INSURANCE HOLDINGS L,G3398L118,7041751,137807067,SOLE
FINANCE OF AMERICA COS INC,31738L206,1286040,31135028,SOLE
FRANKLIN TEMPLETON ETF TR,35473P827,5750,277725,SOLE
GE HEALTHCARE TECHNOLOGY,36266G107,670000,54953400,SOLE
ISHARES TR,46434V738,38388,2724780,SOLE
ISHARES INC,464286509,12531,675797,SOLE
ISHARES TR,464287465,57453,5517212,SOLE
ISHARES INC,46434G822,14305,1154986,SOLE
ISHARES INC,464286665,7610,384077,SOLE
KBR INC,48242W106,2125000,85425000,SOLE
LITHIA MOTORS INC,536797103,317602,105548673,SOLE
MANCHESTER UNITED PLC,G5784H106,2922076,46519450,SOLE
MIRION TECHNOLOGIES INC,60471A101,8383441,196340188,SOLE
MOTOROLA SOLUTIONS INC,620076307,135000,51748200,SOLE
MP MATERIALS CORP,553368101,3000000,151560000,SOLE
OCCIDENTAL PETROLEUM CORP,674599105,700000,28784000,SOLE
ONEMAIN HOLDINGS INC,68268W103,700000,47285000,SOLE
REGAL REXNORD CORP,758750103,690000,96820803,SOLE
ROCKET COS INC,77311W101,21016600,406881376,SOLE
SEA LTD,81141R100,326058,41595219,SOLE
SUNOCO LP,86765K109,1620000,84904200,SOLE
SUNOPTA INC,8676EP108,9053300,34402540,SOLE
THE CIGNA GROUP,125523100,325000,89449750,SOLE
USA TODAY CO INC,36472T109,6164811,31748777,SOLE
VANGUARD INTL EQUITY INDEX F,922042874,24693,2064582,SOLE
VANGUARD SCOTTSDALE FDS,92206C706,25028,1499928,SOLE
VANGUARD INDEX FDS,922908363,43593,27338478,SOLE
VANGUARD MUN BD FDS,922907746,12876,647534,SOLE
VERTIV HOLDINGS CO,92537N108,2157789,349583396,SOLE
WILLSCOT HOLDINGS CORP,971378104,4031016,75904031,SOLE
