Company,CUSIP,Shares,Value,Discretion,PutCall
APPLE INC,037833100,13000,3534,SOLE,
ABM INDS INC,000957100,211361,8941,SOLE,
ADOBE INC,00724F101,16000,5600,SOLE,
AEBI SCHMIDT,H00501108,147122,1861,SOLE,
AGCO CORP,001084102,9000,939,SOLE,
AMAZON COM INC,023135106,12500,2885,SOLE,
APTIV PLC,G3265R107,85500,6506,SOLE,
AVANTOR INC,05352A100,818000,9374,SOLE,
BAXTER INTL INC,071813109,417000,7969,SOLE,
BECTON DICKINSON & CO,075887109,42500,8248,SOLE,
BLUE BIRD CORP,095306106,23000,1081,SOLE,
BRADY CORP,104674106,10500,823,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,11000,5529,SOLE,
CHUBB LIMITED,H1467J104,19000,5930,SOLE,
CBRE GROUP INC,12504L109,38000,6110,SOLE,
CENTRAL GARDEN & PET CO,153527205,52500,1532,SOLE,
CITIZENS FINL GROUP INC,174610105,105000,6133,SOLE,
CUMMINS INC,231021106,4700,2399,SOLE,
CISCO SYS INC,17275R102,65000,5007,SOLE,
CORTEVA INC,22052L104,88000,5899,SOLE,
CVS HEALTH CORP,126650100,56000,4444,SOLE,
CUSHMAN AND WAKEFIELD LTD,G2717C106,88500,1433,SOLE,
DELTA AIR LINES INC DEL,247361702,102100,7086,SOLE,
DEERE & CO,244199105,7500,3492,SOLE,
QUEST DIAGNOSTICS INC,74834L100,40000,6941,SOLE,
DINE BRANDS GLOBAL INC,254423106,229000,7360,SOLE,
DISNEY WALT CO,254687106,107864,12272,SOLE,
DOVER CORP,260003108,29694,5797,SOLE,
EBAY INC,278642103,22000,1916,SOLE,
EQUIFAX INC,294429105,18000,3906,SOLE,
FIRST ADVANTAGE,31846B108,74000,1075,SOLE,
FEDEX CORP,31428X106,25500,7366,SOLE,
FIRST HAWAIIAN INC,32051X108,40000,1012,SOLE,
FIDELITY NATL INFORMATION SV,31620M106,121470,8073,SOLE,
FIFTH THIRD BANCORP,316773100,136000,6366,SOLE,
FORTIVE CORP,34959J108,100000,5521,SOLE,
GENERAL DYNAMICS,369550108,22000,7407,SOLE,
GRAHAM CORP,384556106,6500,417,SOLE,
CORNING INC,219350105,30000,2627,SOLE,
GENERAL MTRS CO,37045V100,48000,3903,SOLE,
ALPHABET INC,02079K107,7500,2354,SOLE,
GOLDMAN SACHS GROUP INC,38141G104,1500,1319,SOLE,
GATES INDUSTRIAL CORPRATIN P,G39108108,84000,1803,SOLE,
HOME BANCSHARES INC,436893200,37000,1028,SOLE,
HONEYWELL INTL INC,438516106,26000,5072,SOLE,
HENRY SCHEIN INC,806407102,89000,6727,SOLE,
INTEGRA LIFESCIENCES HLDGS,457985208,123000,1528,SOLE,
INTERNATIONAL FLAVORS&FRAGRANCE,459506101,127000,8559,SOLE,
INVESCO LTD,G491BT108,233000,6121,SOLE,
JONES LANG LASALLE INC,48020Q107,17500,5888,SOLE,
JOHNSON & JOHNSON,478160104,29000,6002,SOLE,
KORN FERRY,500643200,76950,5080,SOLE,
KULICKE & SOFFA INDS INC,501242101,142461,6491,SOLE,
L3HARRIS TECHNOLOGIES INC,502431109,12600,3699,SOLE,
LKQ CORP,501889208,318266,9612,SOLE,
LOCKHEED MARTIN CORP,539830109,8200,3966,SOLE,
SOUTHWEST AIRLS CO,844741108,127000,5249,SOLE,
MEDTRONIC PLC,G5960L103,73000,7012,SOLE,
META PLATFORMS INC,30303M102,5700,3763,SOLE,
MOHAWK INDS INC,608190104,68750,7514,SOLE,
MIDDLEBY CORP,596278101,48000,7136,SOLE,
MILLER INDS INC TENN,600551204,21500,803,SOLE,
MICROSOFT CORP,594918104,10000,4836,SOLE,
NASDAQ INC,631103108,77300,7508,SOLE,
NIKE INC,654106103,104000,6626,SOLE,
NOV INC,62955J103,47000,735,SOLE,
OMNICOM GROUP INC,681919106,110000,8883,SOLE,
ON SEMICONDUCTOR CORP,682189105,103000,5577,SOLE,
PROSPERITY BANCSHARES INC,743606105,12000,829,SOLE,
PRESTIGE CONSMR HEALTHCARE,74112D101,21000,1295,SOLE,
PEPSICO INC,713448108,28000,4019,SOLE,
PROGYNY INC,74340E103,36000,924,SOLE,
DOUGLAS DYNAMIC INC,25960R105,30000,980,SOLE,
RALLIANT CORP,750940108,143000,7280,SOLE,
REYNOLDS CONSUMER PRODS INC,76171L106,268000,6143,SOLE,
RTX CORP,75513E101,16000,2934,SOLE,
SCHLUMBERGER LTD,806857108,220000,8444,SOLE,
SOLSTICE ADVANCED MATLS INC,83443Q103,57700,2803,SOLE,
S&P GLOBAL INC,78409V104,7800,4076,SOLE,
SS&C TECHNOLOGIES HLDGS INC,78467J100,55000,4808,SOLE,
SENSATA TECHNOLOGIES HLDNG P,G8060N102,284000,9454,SOLE,
CONSTELLATION BRANDS INC,21036P108,36000,4967,SOLE,
STANLEY BLACK & DECKER INC,854502101,77000,5720,SOLE,
SYSCO CORP,871829107,75000,5527,SOLE,
TARGET CORP,87612E106,82000,8016,SOLE,
TIMKEN CO,887389104,8300,698,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,6400,3708,SOLE,
TENNANT CO,880345103,13000,958,SOLE,
TRAVELERS COMPANIES INC,89417E109,24000,6961,SOLE,
TEXAS INSTRS INC,882508104,27000,4684,SOLE,
UBER TECHNOLOGIES INC,90353T100,46000,3759,SOLE,
UNITEDHEALTH GROUP INC,91324P102,15000,4952,SOLE,
UNITED PARCEL SERVICE INC,911312106,64000,6348,SOLE,
US BANCORP DEL,902973304,123000,6563,SOLE,
VISA INC,92826C839,6000,2104,SOLE,
VONTIER CORPORATION,928881101,256000,9518,SOLE,
VISHAY INTERTECHNOLOGY INC,928298108,77000,1116,SOLE,
WESCO INTL INC,95082P105,15500,3792,SOLE,
WELLS FARGO CO NEW,949746101,67000,6244,SOLE,
WILLIS TOWERS WATSON PLC LTD,G96629103,15200,4995,SOLE,
ZIMMER BIOMET HOLDINGS INC,98956P102,82000,7373,SOLE,
