Company,CUSIP,Shares,Value,Discretion,PutCall
Bajaj Finance Limited,Y0547D153,95800,1053511,SOLE,
3M Co.,88579Y101,27829,4455423,SOLE,
Abbott Labs,002824100,1873063,234676063,SOLE,
AbbVie Inc.,00287Y109,11144,2546293,SOLE,
Accenture plc Class A,G1151C101,66424,17821559,SOLE,
Adobe  Inc,00724F101,34597,12108604,SOLE,
Air Products & Chemicals,009158106,9035,2231826,SOLE,
Alphabet Inc Cap Stk Cl A,02079K305,1532213,479582669,SOLE,
Amazon.com Inc.,023135106,1133670,261673709,SOLE,
Amdocs Limited,G02602103,9250,744718,SOLE,
Amphenol Corp,032095101,230488,31148148,SOLE,
AON plc Registered Shs,G0403H108,10603,3741587,SOLE,
"Apple, Inc.",037833100,1978272,537813026,SOLE,
"Automatic Data Processing, Inc",053015103,633763,163022856,SOLE,
Becton Dickinson & Co.,075887109,2486,482458,SOLE,
Best Buy Co. Inc.,086516101,24735,1655514,SOLE,
Booz Allen Hamilton Holding Co,099502106,16450,1387722,SOLE,
"Broadcom, Inc.",11135F101,178441,61758430,SOLE,
Broadridge Financial Solutions,11133T103,769449,171717933,SOLE,
"Cadence Design Systems, Inc.",127387108,529665,165562686,SOLE,
Campbell Soup Company,134429109,31418,875620,SOLE,
Church & Dwight Co Inc,171340102,34550,2897018,SOLE,
Clorox Company,189054109,68465,6903326,SOLE,
Coca-Cola Co,191216100,111652,7805591,SOLE,
Cognizant Technology Solutions,192446102,107726,8941258,SOLE,
Colgate-Palmolive Co,194162103,118934,9398165,SOLE,
Copart Inc.,217204106,2168517,84897441,SOLE,
Crown Holdings Inc.,228368106,56903,5859302,SOLE,
Donaldson Co. Inc.,257651109,40070,3552606,SOLE,
Ecolab Inc,278865100,59960,15740699,SOLE,
Eli Lilly & Co.,532457108,249827,268484080,SOLE,
Emerson Elec Co,291011104,74900,9940728,SOLE,
Encompass Health Corp,29261A100,50660,5377052,SOLE,
Equifax Inc,294429105,824439,178886774,SOLE,
F5 Networks Inc.,315616102,14100,3599166,SOLE,
FactSet Research Systems Inc.,303075105,11810,3427144,SOLE,
Fair Isaac Corporation,303250104,1250,2113275,SOLE,
Ferrari N.V.,N3167Y103,2600,960856,SOLE,
General Mills Inc.,370334104,17845,829793,SOLE,
Genpact Limited,G3922B107,116625,5455718,SOLE,
Gentex Corporation,371901109,133540,3107476,SOLE,
Genuine Parts Company,372460105,2674,328795,SOLE,
Hologic Inc.,436440101,28000,2085720,SOLE,
Home Depot Inc.,437076102,2495,858530,SOLE,
IDEXX Laboratories Inc.,45168D104,3571,2415889,SOLE,
Intuit Inc.,461202103,272978,180826087,SOLE,
Johnson & Johnson,478160104,10266,2124549,SOLE,
"Keysight Technologies, Inc.",49338L103,27730,5634459,SOLE,
KLA Corporation,482480100,189514,230274671,SOLE,
Kroger Company,501044101,80240,5013395,SOLE,
"Labcorp Holdings, Inc.",504922105,22820,5725082,SOLE,
Landstar System Inc.,515098101,5350,768795,SOLE,
Levi Strauss & Co,52736R102,118640,2460594,SOLE,
Linde plc,G54950103,1290,550043,SOLE,
lululemon athletica inc.,550021109,3920,814615,SOLE,
"Manhattan Associates, Inc.",562750109,4420,766030,SOLE,
Marsh & McLennan Companies Inc,571748102,1084317,201162490,SOLE,
Mastercard Inc,57636Q104,482740,275586611,SOLE,
McDonald's Corp.,580135101,443278,135479055,SOLE,
"Meta Platforms, Inc. Class A",30303M102,366040,241619344,SOLE,
Microsoft Corp,594918104,1326840,641686361,SOLE,
Motorola Solutions Inc.,620076307,175236,67171464,SOLE,
"MSCI, Inc.",55354G100,9850,5651241,SOLE,
Nike Inc,654106103,76785,4891972,SOLE,
Nordson Corporation,655663102,12050,2897182,SOLE,
NVIDIA Corp,67066G104,2253736,420321764,SOLE,
Omnicom Group Inc,681919106,34054,2749861,SOLE,
ON Semiconductor Corp,682189105,21406,1159135,SOLE,
Oracle Corp,68389X105,124373,24241541,SOLE,
PepsiCo Inc.,713448108,82002,11768927,SOLE,
Procter & Gamble Co,742718109,1282207,183753085,SOLE,
Raytheon Technologies Corp,75513E101,17607,3229124,SOLE,
Ross Stores Inc,778296103,26944,4853692,SOLE,
Sherwin-Williams Co,824348106,618261,200335112,SOLE,
Stryker Corp,863667101,731545,257116121,SOLE,
T Rowe Price Group Inc,74144T108,31950,3271041,SOLE,
Texas Instruments Inc,882508104,9665,1676781,SOLE,
TJX Companies Inc,872540109,23159,3557454,SOLE,
Toro Company,891092108,43470,3421958,SOLE,
Tractor Supply Co,892356106,97780,4889978,SOLE,
"United Rentals, Inc.",911363109,2151,1740847,SOLE,
Unitedhealth Group Inc,91324P102,3941,1300964,SOLE,
Veeva Systems Inc. Class A,922475108,308753,68922932,SOLE,
Verisk Analytics Inc,92345Y106,445596,99675369,SOLE,
W.W. Grainger Inc.,384802104,3140,3168417,SOLE,
Waste Management,94106L109,1000459,219810847,SOLE,
Waters Corp,941848103,38736,14713095,SOLE,
Taiwan Semiconductor Manuf ADR,874039100,17120,5202597,SOLE,
Jensen Quality Growth ETF,89834G562,517847,14015322,SOLE,
