Company,CUSIP,Shares,Value,Discretion,PutCall
CAPITAL ONE FINL CORP,14040H105,645252,96071570,SOLE,
CARDLYTICS INC,14161W105,6373676,92354565,SOLE,
CARVANA CO,146869102,6530894,574130892,SOLE,
HILTON GRAND VACATIONS INC,43283X105,6446661,304346866,SOLE,
WORLD ACCEP CORPORATION,981419104,338164,49027017,SOLE,
