Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K107,6324031,1540217750,SOLE
ALPHABET INC,02079K305,4843973,1177569836,SOLE
AMAZON COM INC,023135106,5823316,1278625494,SOLE
BROOKFIELD CORP,11271J107,41020231,2813167442,SOLE
CHIPOTLE MEXICAN GRILL INC,169656105,21541177,844198727,SOLE
HERTZ GLOBAL HLDGS INC,42806J700,15241127,103639664,SOLE
HILTON WORLDWIDE HLDGS INC,43300A203,3030578,786253156,SOLE
HOWARD HUGHES HOLDINGS INC,44267T102,18852064,1549074099,SOLE
RESTAURANT BRANDS INTL INC,76131D103,22915496,1469799913,SOLE
SEAPORT ENTMT GROUP INC,812215200,5023780,115145038,SOLE
UBER TECHNOLOGIES INC,90353T100,30270518,2965602648,SOLE
