Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K107,118880,18100669,SOLE
CHARTER COMMUNICATIONS INC N,16119P108,38474,11181699,SOLE
FIDELITY NATIONAL FINANCIAL,31620R303,270000,14337000,SOLE
GILDAN ACTIVEWEAR INC,375916103,615399,22849765,SOLE
GUIDEWIRE SOFTWARE INC,40171V100,124435,14522809,SOLE
HALLADOR ENERGY COMPANY,40609P105,372664,1986299,SOLE
INTERACTIVE BROKERS GROUP IN,45841N107,302647,33808696,SOLE
LGI HOMES INC,50187T106,108590,12636618,SOLE
STAR GROUP L P,85512C105,1105928,11081399,SOLE
TRANSDIGM GROUP INC,893641100,21424,26385798,SOLE
