Company,CUSIP,Shares,Value,Discretion
ACADIA HEALTHCARE COMPANY IN,00404A109,1396367,110620194,SOLE
AGILON HEALTH INC,00857U107,976133,5954411,SOLE
ATLASSIAN CORPORATION,049468101,2083614,406533928,SOLE
AURORA INNOVATION INC,051774107,19970914,56317977,SOLE
AVANTOR INC,05352A100,8499352,217328431,SOLE
BIRKENSTOCK HOLDING PLC,M2029K104,4051201,191419247,SOLE
BOOKING HOLDINGS INC,09857L108,125729,456129725,SOLE
BRIGHT HORIZONS FAM SOL IN D,109194100,4995579,566298835,SOLE
CHEMED CORP NEW,16359R103,570219,366040683,SOLE
CLEAR SECURE INC,18467V109,3443634,73246095,SOLE
COLLIERS INTL GROUP INC,194693107,2019290,246817817,SOLE
COPART INC,217204106,4375101,253405850,SOLE
COUPANG INC,22266T109,9264645,164818035,SOLE
DATADOG INC,23804L103,997079,123238964,SOLE
DESCARTES SYS GROUP INC,249906108,3634837,332696631,SOLE
DOORDASH INC,25809K105,290644,40027492,SOLE
DOXIMITY INC,26622P107,4454478,119870003,SOLE
DUOLINGO INC,26603R106,3105148,684933546,SOLE
ENTEGRIS INC,29362U104,728893,102438622,SOLE
FIRSTSERVICE CORP NEW,33767E202,3036434,503440757,SOLE
GARTNER INC,366651107,148882,70967583,SOLE
GOOSEHEAD INS INC,38267D109,199058,13261244,SOLE
GRACO INC,384109104,1468593,137254702,SOLE
HUBSPOT INC,443573100,1091362,683803775,SOLE
HUNT J B TRANS SVCS INC,445658107,3222501,642083324,SOLE
IAC INC,44891N208,601567,32087584,SOLE
INGERSOLL RAND INC,45687V106,1507562,143143012,SOLE
INTUIT,461202103,1426264,927071600,SOLE
ISHARES TR,464287655,66096,13899989,SOLE
LIFESTANCE HEALTH GROUP INC,53228F101,10354962,63890116,SOLE
MOLINA HEALTHCARE INC,60855R100,868500,356805855,SOLE
MSCI INC,55354G100,559077,313334705,SOLE
OLD DOMINION FREIGHT LINE IN,679580100,150312,32964925,SOLE
PAYLOCITY HLDG CORP,70438V106,717243,123265382,SOLE
PRIVIA HEALTH GROUP INC,74276R102,9090909,178090907,SOLE
PTC INC,69370C100,782773,147897131,SOLE
RBC BEARINGS INC,75524B104,2346200,634295170,SOLE
RH,74967X103,647296,225427305,SOLE
ROLLINS INC,775711104,3439434,159142611,SOLE
ROPER TECHNOLOGIES INC,776696106,1194835,670111261,SOLE
SAIA INC,78709Y105,137681,80543385,SOLE
SHIFT4 PMTS INC,82452J109,4768807,315075078,SOLE
SHOPIFY INC,82509L107,1101256,84983926,SOLE
SPDR S&P 500 ETF TR,78462F103,14306,7483039,SOLE
SS&C TECHNOLOGIES HLDGS INC,78467J100,4741483,305209261,SOLE
SURGERY PARTNERS INC,86881A100,4784463,142720531,SOLE
TELEDYNE TECHNOLOGIES INC,879360105,219630,94291552,SOLE
TOAST INC,888787108,15943931,397322761,SOLE
TORO CO,891092108,768420,70410325,SOLE
VEEVA SYS INC,922475108,941262,218080993,SOLE
WARBY PARKER INC,93403J106,4153374,56527420,SOLE
WASTE CONNECTIONS INC,94106B101,790242,135929526,SOLE
WEST PHARMACEUTICAL SVSC INC,955306105,1031053,407997983,SOLE
