Company,CUSIP,Shares,Value,Discretion,PutCall
AIR PRODUCTS AND CHEMICALS I,009158106,233356,67788,SOLE,
ALCON AG,H01301128,9324656,695604,SOLE,
AMAZON COM INC,023135106,1731170,360551,SOLE,
ANALOG DEVICES INC,032654105,1029523,327532,SOLE,
BOOKING HOLDINGS INC,09857L108,49923,210192,SOLE,
CANADIAN PACIFIC KANSAS CITY,13646K108,2747795,216142,SOLE,
CARLISLE COS INC,142339100,201377,67183,SOLE,
CISCO SYS INC,17275R102,3043637,236156,SOLE,
COPART INC,217204106,274058,9099,SOLE,
EQUIFAX INC,294429105,403774,72708,SOLE,
FAIR ISAAC CORP,303250104,127212,135804,SOLE,
FERRARI N V,N3167Y103,926523,310801,SOLE,
FLUTTER ENTMT PLC,G3643J108,487027,49652,SOLE,
GE AEROSPACE,369604301,996847,282875,SOLE,
INTERCONTINENTAL EXCHANGE IN,45866F104,1867549,293728,SOLE,
LINDE PLC,G54950103,134631,66745,SOLE,
MARSH & MCLENNAN COS INC,571748102,261527,45362,SOLE,
MASTERCARD INCORPORATED,57636Q104,155592,77743,SOLE,
MICROSOFT CORP,594918104,735214,272154,SOLE,
MOODYS CORP,615369105,510824,222847,SOLE,
RELX PLC,759530108,23447,777,SOLE,
SALESFORCE INC,79466L302,354805,66231,SOLE,
STRYKER CORPORATION,863667101,249883,82109,SOLE,
SUNBELT RENTALS HOLDINGS INC,866966104,3185284,207330,SOLE,
WILLIAMS COS INC,969457100,1775909,129251,SOLE,
VISA INC,92826C839,1186931,358738,SOLE,
WATERS CORP,941848103,816929,243281,SOLE,
