Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,47500,8490,SOLE,
ALPHABET INC,02079K305,16000,3890,SOLE,
AMERICAN EXPRESS CO,025816109,210000,69754,SOLE,
BANK AMERICA CORP,060505104,767845,39613,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,30,22626,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,140600,70685,SOLE,
DAILY JOURNAL CORP,233912104,11500,5349,SOLE,
FERRARI N V,N3167Y103,60000,28978,SOLE,
MASTERCARD INCORPORATED,57636Q104,65750,37399,SOLE,
MICRON TECHNOLOGY INC,595112103,80000,13386,SOLE,
MOODYS CORP,615369105,27000,12865,SOLE,
CORE NATURAL RESOURCES INC,218937100,10740,897,SOLE,
ALPHA METALLURGICAL RESOUR I,020764106,8000,1313,SOLE,
SERITAGE GROWTH PPTYS,81752R100,500000,2125,SOLE,
