Company,CUSIP,Shares,Value,Discretion
LEAR CORP,521865204,134405,12765787,DFND
LEAR CORP,521865204,7468586,709366298,SOLE
LEIDOS HOLDINGS INC,525327102,244302,38541084,SOLE
LKQ CORP,501889208,2785203,103080363,SOLE
MAGNA INTL INC,559222401,338513,17819324,DFND
MAGNA INTL INC,559222401,29164416,1535214869,SOLE
MALIBU BOATS INC,56117J100,1670977,52368419,SOLE
MANPOWERGROUP INC WIS,56418H100,351121,14185288,SOLE
MARCUS & MILLICHAP INC,566324109,614410,18868531,SOLE
MASTERBRAND INC,57638P104,4154751,45411428,SOLE
MEDTRONIC PLC,G5960L103,128486,11200125,DFND
MEDTRONIC PLC,G5960L103,8726805,760715614,SOLE
MERCK & CO INC,58933Y105,3324,263128,SOLE
METLIFE INC,59156R108,172133,13842936,DFND
METLIFE INC,59156R108,8972502,721568611,SOLE
MOHAWK INDS INC,608190104,1175775,123268251,SOLE
MORGAN STANLEY,617446448,791167,111443784,SOLE
MRC GLOBAL INC,55345K103,5223482,71613938,SOLE
MSC INDL DIRECT INC,553530106,461931,39273374,SOLE
NATWEST GROUP PLC,639057207,24210,342574,SOLE
NEWELL BRANDS INC,651229106,783352,4230101,DFND
NEWELL BRANDS INC,651229106,47591103,256991956,SOLE
NOKIA CORP,654902204,68662240,355670401,SOLE
NOV INC,62955J103,441864,5492370,DFND
NOV INC,62955J103,42267026,525379133,SOLE
OLD NATL BANCORP IND,680033107,2695779,57527924,SOLE
OLIN CORP,680665205,3829021,76925032,SOLE
ORION S.A.,L72967109,4577197,48014797,SOLE
OSHKOSH CORP,688239201,525887,59709210,SOLE
PETROLEO BRASILEIRO SA PETRO,71654V101,230441,2659289,SOLE
PFIZER INC,717081103,367153,8899789,DFND
PFIZER INC,717081103,6191961,150093135,SOLE
PPG INDS INC,693506107,1014004,115342955,SOLE
PVH CORPORATION,693656100,56548,3879193,DFND
PVH CORPORATION,693656100,6351089,435684705,SOLE
REGIONS FINANCIAL CORP NEW,7591EP100,1899232,44669937,SOLE
RESIDEO TECHNOLOGIES INC,76118Y104,2687128,59278044,SOLE
ROBERT HALF INC.,770323103,2377277,97587221,SOLE
SANOFI,80105N105,5580,269564,SOLE
SCANSOURCE INC,806037107,975578,40788916,SOLE
SHELL PLC,780259305,145792,10265215,DFND
SHELL PLC,780259305,3519323,247795506,SOLE
SHINHAN FINANCIAL GROUP CO L,824596100,1027646,46429030,SOLE
SHYFT GROUP INC,825698103,3579364,44885225,SOLE
SKYWORKS SOLUTIONS INC,83088M102,173254,12910888,DFND
SKYWORKS SOLUTIONS INC,83088M102,12034389,896802668,SOLE
SPECTRUM BRANDS HLDGS INC NE,84790A105,1474451,78145903,SOLE
SS&C TECHNOLOGIES HLDGS INC,78467J100,10460579,866135941,SOLE
STEELCASE INC,858155203,5754832,60022898,SOLE
SUMITOMO MITSUI FINL GROUP I,86562M209,24052,363422,SOLE
SYNOVUS FINL CORP,87161C501,680368,35209044,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,42551,9637376,SOLE
TARGET CORP,87612E106,366820,36186793,SOLE
TE CONNECTIVITY PLC,G87052109,51086,8616676,DFND
TE CONNECTIVITY PLC,G87052109,2367467,399320659,SOLE
TELEFLEX INCORPORATED,879369106,356107,42148825,SOLE
THE CIGNA GROUP,125523100,523600,173091688,SOLE
TRIMAS CORP,896215209,2177761,62305742,SOLE
TRUEBLUE INC,89785X101,2919252,18916753,SOLE
TYSON FOODS INC,902494103,172180,9631749,DFND
TYSON FOODS INC,902494103,13536520,757232929,SOLE
UBS GROUP AG,H42097107,242844,6520361,DFND
UBS GROUP AG,H42097107,30659548,823208876,SOLE
ULTA BEAUTY INC,90384S303,525,245606,SOLE
