Company,CUSIP,Shares,Value,Discretion,PutCall
ACV AUCTIONS INC,00091G104,9903239,71204288,SOLE,
AFFIRM HLDGS INC,00827B106,1273050,103817228,SOLE,
AKAMAI TECHNOLOGIES INC,00971T101,910583,107640016,SOLE,
ALPHABET INC,02079K305,488296,174502342,SOLE,
AMAZON COM INC,023135106,969629,231101376,SOLE,
AMBIQ MICRO INC,023193105,877123,77449961,SOLE,
AMPHENOL CORP,032095101,640069,112856966,SOLE,
ASTERA LABS INC,04626A103,1216795,587736321,SOLE,
BITGO HOLDINGS INC,091947101,29611,153385,SOLE,
CEREBRAS SYSTEMS INC,15675D103,3110086,687329006,SOLE,
CEREBRAS SYSTEMS INC,15675D103,700000,154700000,SOLE,Call
CIENA CORP,171779309,688521,337760862,SOLE,
CIPHER DIGITAL INC,17253J106,3586409,87867021,SOLE,
COHERENT CORP,19247G107,642101,253289581,SOLE,
COMPASS INC,20464U100,5658421,69768331,SOLE,
COREWEAVE INC,21873S108,2124845,211507071,SOLE,
CREDO TECHNOLOGY GROUP HOLDI,G25457105,1129285,307109056,SOLE,
DICKS SPORTING GOODS INC,253393102,375118,85080514,SOLE,
EQUIPMENTSHARE COM INC,29445S100,217131,4268795,SOLE,
FERGUSON ENTERPRISES INC,31488V107,147759,35067643,SOLE,
FERVO ENERGY CO,31556C106,9959,291102,SOLE,
GITLAB INC,37637K108,3373169,102982850,SOLE,
INNIO NV,N52A8C105,348696,13790927,SOLE,
INTEL CORP,458140100,663802,92686673,SOLE,
INVESCO QQQ TR,46090E103,3200000,2356480000,SOLE,Put
MASTERCARD INCORPORATED,57636Q104,93629,48087854,SOLE,
META PLATFORMS INC,30303M102,402770,226876313,SOLE,
META PLATFORMS INC,30303M102,1200000,675948000,SOLE,Call
MICRON TECHNOLOGY INC,595112103,711364,821120352,SOLE,
NATERA INC,632307104,104385,28335308,SOLE,
NEBIUS GROUP N.V.,N97284108,64125,17709401,SOLE,
NOKIA CORP,654902204,2524974,33531655,SOLE,
NVIDIA CORPORATION,67066G104,1249291,249970636,SOLE,
PALO ALTO NETWORKS INC,697435105,876954,299058853,SOLE,
PDF SOLUTIONS INC,693282105,658536,46617763,SOLE,
QUANTINUUM INC,74768A104,39853,3257584,SOLE,
ROGERS CORP,775133101,189311,30995890,SOLE,
SAMSARA INC,79589L106,2308649,74869487,SOLE,
SEMTECH CORP,816850101,551214,89213986,SOLE,
SERVICETITAN INC,81764X103,542092,38331325,SOLE,
SPACE EXPLORATION TECHN CORP,84615Q103,27332943,4670106641,SOLE,
TABOOLA.COM LTD,M8744T106,835026,4175130,SOLE,
TESLA INC,88160R101,204275,85918065,SOLE,
TWILIO INC,90138F102,720338,148627340,SOLE,
UNITY SOFTWARE INC,91332U101,10245819,292825507,SOLE,
VEECO INSTRS INC DEL,922417100,237919,18034260,SOLE,
WARBY PARKER INC,93403J106,698903,21204717,SOLE,
WAYFAIR INC,94419L101,843860,77989541,SOLE,
WIX COM LTD,M98068105,1458458,66170239,SOLE,
