Company,CUSIP,Shares,Value,Discretion,PutCall
ADVANCE AUTO PARTS INC.,00751Y106,13019,799367,SOLE,
ALIBABA GROUP HOLDING SP-ADR,01609W102,4060,725644,SOLE,
AGCO CORP.,001084102,9389,1005280,SOLE,
ALBEMARLE CORP,012653101,3869,313699,SOLE,
ALLIANCE RESOURCE PARTNERS LP,01877R108,39999,1011375,SOLE,
ALLISON TRANSMISSION HLD,01973R101,8781,745331,SOLE,
ALPHABET INC-CL A,02079K305,233967,56877378,SOLE,
ALPHABET INC-CL C,02079K107,6272,1527546,SOLE,
AMERICAN EXPRESS CO,025816109,66237,22001282,SOLE,
AMN HEALTHCARE SERVICES INC,001744101,15480,299693,SOLE,
ARROW ELECTRIC,042735100,6450,780450,SOLE,
ATMUS FILTRATION TECHNOLOGIES,04956D107,89157,4020089,SOLE,
AUTOLIV INC.,052800109,432664,53434004,SOLE,
"AUTONATION, INC.",05329W102,5180,1133229,SOLE,
"AUTOZONE, INC.",053332102,5816,24952036,SOLE,
BANK OF AMERICA CORP COM,060505104,381079,19659866,SOLE,
BANK OF NEW YORK MELLON CORP,064058100,139041,15149907,SOLE,
BAXTER INTERNATIONAL INC,071813109,9739,221757,SOLE,
BEAZER HOMES USA,07556Q881,27336,671099,SOLE,
BERKSHIRE HATHAWAY INC,084670108,144,108604800,SOLE,
BERKSHIRE HATHAWAY INC DEL CL B,084670702,99113,49828070,SOLE,
BLACKSTONE MINE,09225M101,42701,561091,SOLE,
BLUE OWL CAPITAL CORP,69121K104,60629,774232,SOLE,
"BREAD FINANCIAL HOLDINGS, INC.",018581108,16851,939780,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,14466,652417,SOLE,
CENOVUS ENERGY,15135U109,46942,797211,SOLE,
CENTENE CORP,15135B101,10320,368218,SOLE,
CISCO SYSTEMS INC,17275r102,56126,3840141,SOLE,
CLEVELAND-CLIFFS INC,185899101,51987,634241,SOLE,
CNH INDUSTRIAL NV,N20944109,13281370,144102864,SOLE,
COCA COLA FEMSA,191241108,1206328,100245857,SOLE,
COMCAST CORPORATION - CLASS A,20030N101,31496,989604,SOLE,
CONCENTRIX CORP,20602D101,14158,653392,SOLE,
CONOCOPHILLIPS,20825C104,24721,2338359,SOLE,
CONSENSUS CLOUD,20848V105,23272,683499,SOLE,
CROCS INC,227046109,7743,646928,SOLE,
CVS CORP.,126650100,10357,780814,SOLE,
