Company,CUSIP,Shares,Value,Discretion,PutCall
AGILENT TECHNOLOGIES INC,00846U101,126437,16794627,DFND,
ALPHABET INC,02079K305,171066,61133856,DFND,
ANALOG DEVICES INC,032654105,88014,34956520,DFND,
APPLIED MATLS INC,038222105,50176,36277248,DFND,
BLACKROCK INC,09290D101,20873,20070642,DFND,
BROADCOM INC,11135F101,186760,70548590,DFND,
CANADIAN PACIFIC KANSAS CITY,13646K108,199860,17317869,DFND,
CBRE GROUP INC,12504L109,181083,24390069,DFND,
CME GROUP INC,12572Q105,63835,14096683,DFND,
ENTEGRIS INC,29362U104,99756,17942114,DFND,
FASTENAL CO,311900104,376044,18061393,DFND,
FERGUSON ENTERPRISES INC,31488V107,80548,19116457,DFND,
INTERACTIVE BROKERS GROUP IN,45841N107,517833,45072184,DFND,
INTERCONTINENTAL EXCHANGE IN,45866F104,135468,16677465,DFND,
LIVE NATION ENTERTAINMENT IN,538034109,113503,20783534,DFND,
MICROSOFT CORP,594918104,68901,25701451,DFND,
MOODYS CORP,615369105,18075,8186529,DFND,
ORACLE CORP,68389X105,105457,15454723,DFND,
S&P GLOBAL INC,78409V104,71249,29016868,DFND,
SPOTIFY TECHNOLOGY S A,L8681T102,20216,9281772,DFND,
SS&C TECH HLDGS,78467J100,172816,10723233,DFND,
TAIWAN SEMICONDUCTOR MANUFAC,874039100,114820,54834587,DFND,
TRADEWEB MKTS INC,892672106,108989,10861844,DFND,
TRIP COM GROUP LTD,89677Q107,214242,8535401,DFND,
UBER TECHNOLOGIES INC,90353T100,238965,17243714,DFND,
VISA INC,92826C839,83643,28697077,DFND,
YUM BRANDS INC,988498101,83427,13336640,DFND,
