Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,3400,288286,SOLE,
ALIBABA GROUP HLDG LTD,01609W902,38500,1318625,SOLE,Call
ALLY FINL INC,02005N100,225525,8121152,SOLE,
ALPHABET INC,02079K107,82390,15690352,SOLE,
APPLE INC,037833100,44000,11018480,SOLE,
ASSURED GUARANTY LTD,G0585R106,10990,989210,SOLE,
BANK AMERICA CORP,060505104,50000,2197500,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,86,58559098,SOLE,
CHINA YUCHAI INTL LTD,G21082105,73364,699159,SOLE,
CITIGROUP INC,172967424,57695,4061149,SOLE,
CREDIT ACCEP CORP MICH,225310101,262,122999,SOLE,
HERTZ GLOBAL HLDGS INC,42806J148,1000,2150,SOLE,
IMPERIAL OIL LTD,453038408,5000,308150,SOLE,
JEFFERIES FINL GROUP INC,47233W109,10987,861381,SOLE,
LEAR CORP,521865204,4000,378800,SOLE,
LIBERTY GLOBAL LTD,G61188101,12000,153120,SOLE,
SIRIUSXM HOLDINGS INC,829933100,12590,287049,SOLE,
LOUISIANA PAC CORP,546347105,5886,609495,SOLE,
MAGNA INTL INC,559222401,10000,417900,SOLE,
MBIA INC,55262C100,321000,2073660,SOLE,
METHANEX CORP,59151K108,4000,199882,SOLE,
MOODYS CORP,615369105,5899,2792410,SOLE,
OCCIDENTAL PETE CORP,674599162,68000,1873399,SOLE,
PATHWARD FINANCIAL INC,59100U108,27389,2015282,SOLE,
PAYPAL HLDGS INC,70450Y103,41000,3499350,SOLE,
POOL CORP,73278L105,10636,3626238,SOLE,
RYANAIR HOLDINGS PLC,783513203,5937,258794,SOLE,
STELLANTIS N.V,N82405106,456388,5955863,SOLE,
SUNRISE COMMUNICATIONS AG,867975104,2400,103392,SOLE,
SYNCHRONY FINANCIAL,87165B103,215702,14020626,SOLE,
VITESSE ENERGY INC,92852X103,1293,32325,SOLE,
WELLS FARGO CO NEW,949746101,59542,4182229,SOLE,
