Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,846297,128857181,SOLE,
AUTOZONE INC,053332102,23282,73376715,SOLE,
DANAHER CORPORATION,235851102,310364,77504098,SOLE,
HERC HLDGS INC,42704L104,444769,74854623,SOLE,
META PLATFORMS INC,30303M102,287226,139471201,SOLE,
PAYPAL HLDGS INC,70450Y103,1212462,81222829,SOLE,
SEMRUSH HLDGS INC,81686C104,3805121,50455904,SOLE,
SMARTSHEET INC,83200N103,2512328,96724628,SOLE,
UPWORK INC,91688F104,2760387,33842345,SOLE,
WIX COM LTD,M98068105,755440,103857891,SOLE,
