Company,CUSIP,Shares,Value,Discretion
ACADEMY SPORTS & OUTDOORS IN,00402L107,16155,808073,SOLE
ACADIA HEALTHCARE COMPANY IN,00404A109,3006505,74441064,SOLE
ADT INC DEL,00090Q103,109955,957708,SOLE
ADVANCED MICRO DEVICES INC,007903107,933011,150951850,SOLE
AFFIRM HLDGS INC,00827B106,48110,3515879,SOLE
ALLSTATE CORP,020002101,16264,3491068,SOLE
ALPHABET INC,02079K305,14308,3478275,SOLE
ALTRIA GROUP INC,02209S103,40425,2670476,SOLE
AMAZON COM INC,023135106,2236598,491089823,SOLE
AMBIQ MICRO INC,023193105,59248,1772700,SOLE
AMER SPORTS INC,G0260P102,100419,3489560,SOLE
AMERICAN EAGLE OUTFITTERS IN,02553E106,291722,4991363,SOLE
ANHEUSER BUSCH INBEV SA/NV,03524A108,26800,1597548,SOLE
APPLE INC,037833100,11051,2813916,SOLE
ARAMARK,03852U106,102387,3931661,SOLE
ARRAY DIGITAL INFRASTRUCTURE,911684108,67703,3385827,SOLE
ASML HOLDING N V,N07059210,190394,184318527,SOLE
ASTERA LABS INC,04626A103,1032441,202151948,SOLE
AUTONATION INC,05329W102,8533,1866764,SOLE
AUTOZONE INC,053332102,827,3548028,SOLE
BANK AMERICA CORP,060505104,3319034,171228964,SOLE
BATH & BODY WORKS INC,070830104,198001,5100506,SOLE
BAUSCH PLUS LOMB CORP,071705107,177766,2678934,SOLE
BELLRING BRANDS INC,07831C103,18852,685270,SOLE
BEST BUY INC,086516101,34830,2633845,SOLE
BIO-TECHNE CORP,09073M104,3012654,167593942,SOLE
BLOOMIN BRANDS INC,094235108,663031,4753932,SOLE
BOOKING HOLDINGS INC,09857L108,1588,8574041,SOLE
BOOT BARN HLDGS INC,099406100,7155,1185727,SOLE
BOSTON BEER INC,100557107,14039,2968125,SOLE
BRINKER INTL INC,109641100,5202,658989,SOLE
BRITISH AMERN TOB PLC,110448107,44918,2384247,SOLE
BUCKLE INC,118440106,102664,6022270,SOLE
BUILD-A-BEAR WORKSHOP INC,120076104,3234,210889,SOLE
BUMBLE INC,12047B105,576121,3508577,SOLE
BUNGE GLOBAL SA,H11356104,30829,2504856,SOLE
BYRNA TECHNOLOGIES INC,12448X201,108218,2398111,SOLE
CABLE ONE INC,12685J105,18181,3218946,SOLE
CAESARS ENTERTAINMENT INC NE,12769G100,35323,954604,SOLE
CALERES INC,129500104,225743,2943689,SOLE
CAPITAL ONE FINL CORP,14040H105,1083934,230422690,SOLE
CARIBOU BIOSCIENCES INC,142038108,652542,1520423,SOLE
CARNIVAL CORP,143658300,1912372,55286675,SOLE
CARTERS INC,146229109,124255,3506476,SOLE
CARVANA CO,146869102,217552,82069316,SOLE
CASEYS GEN STORES INC,147528103,2687,1519015,SOLE
CAVA GROUP INC,148929102,35440,2140930,SOLE
CELSIUS HLDGS INC,15118V207,1031603,59306856,SOLE
CHEESECAKE FACTORY INC,163072101,90552,4947761,SOLE
CHEWY INC,16679L109,168205,6803892,SOLE
CHOICE HOTELS INTL INC,169905106,18447,1972169,SOLE
CHURCH & DWIGHT CO INC,171340102,22556,1976582,SOLE
CIDARA THERAPEUTICS INC,171757206,417550,39984588,SOLE
CLEAR SECURE INC,18467V109,94464,3153208,SOLE
CLOROX CO DEL,189054109,24659,3040455,SOLE
COCA COLA CO,191216100,21689,1438414,SOLE
COLGATE PALMOLIVE CO,194162103,29582,2364785,SOLE
CONSTELLATION BRANDS INC,21036P108,8755,1179036,SOLE
COUPANG INC,22266T109,2073752,66774814,SOLE
CROCS INC,227046109,72658,6070576,SOLE
CURIS INC,231269309,49554,6194,SOLE
DANAHER CORPORATION,235851102,642690,127419719,SOLE
DARDEN RESTAURANTS INC,237194105,23231,4422253,SOLE
DATADOG INC,23804L103,341412,48617069,SOLE
DAVE & BUSTERS ENTMT INC,238337109,151249,2746682,SOLE
DAVE INC,23834J201,6926,1380698,SOLE
DIAGEO PLC,25243Q205,10446,996862,SOLE
DICKS SPORTING GOODS INC,253393102,533000,118443260,SOLE
DINE BRANDS GLOBAL INC,254423106,149210,3688471,SOLE
DISNEY WALT CO,254687106,1620405,185536373,SOLE
DOMINOS PIZZA INC,25754A201,5453,2354115,SOLE
DOORDASH INC,25809K105,5700,1550343,SOLE
DUOLINGO INC,26603R106,3134,1008647,SOLE
E L F BEAUTY INC,26856L103,51751,6855972,SOLE
ELANCO ANIMAL HEALTH INC,28414H103,31315,630684,SOLE
EVGO INC,30052F100,895419,4235332,SOLE
EVOLENT HEALTH INC,30050B101,2395284,20264103,SOLE
EXTRA SPACE STORAGE INC,30225T102,17885,2520712,SOLE
FEDEX CORP,31428X106,14898,3513097,SOLE
FERGUSON ENTERPRISES INC,31488V107,14734,3308962,SOLE
FIRST WATCH RESTAURANT GROUP,33748L101,514259,8043011,SOLE
FIVE BELOW INC,33829M101,14423,2231238,SOLE
FLOOR & DECOR HLDGS INC,339750101,26705,1968159,SOLE
FLUTTER ENTMT PLC,G3643J108,133952,34023808,SOLE
FRACTYL HEALTH INC,35168W103,4248492,6755102,SOLE
FRONTDOOR INC,35905A109,24677,1660515,SOLE
GAP INC,364760108,168224,3598311,SOLE
GENUINE PARTS CO,372460105,12760,1768536,SOLE
GFL ENVIRONMENTAL INC,36168Q104,1586998,75191965,SOLE
GODADDY INC,380237107,13841,1893864,SOLE
GOODYEAR TIRE & RUBR CO,382550101,281027,2102082,SOLE
GRINDR INC,39854F101,86005,1291795,SOLE
GROCERY OUTLET HLDG CORP,39874R101,100827,1618273,SOLE
HORMEL FOODS CORP,440452100,59118,1462579,SOLE
HYATT HOTELS CORP,448579102,34735,4929939,SOLE
INSMED INC,457669307,656539,94548181,SOLE
INTUIT,461202103,589,402234,SOLE
INVIVYD INC,00534A102,18970913,20868004,SOLE
KENVUE INC,49177J102,12042708,195453151,SOLE
KEURIG DR PEPPER INC,49271V100,66455,1695267,SOLE
KONTOOR BRANDS INC,50050N103,104495,8335566,SOLE
KRAFT HEINZ CO,500754106,65900,1716036,SOLE
LA Z BOY INC,505336107,115293,3956856,SOLE
LABCORP HOLDINGS INC,504922105,10149,2913372,SOLE
LAM RESEARCH CORP,512807306,16560,2217384,SOLE
LAUDER ESTEE COS INC,518439104,22901,2018036,SOLE
LEMONADE INC,52567D107,61849,3310777,SOLE
LEVI STRAUSS & CO NEW,52736R102,198611,4627636,SOLE
LIFE TIME GROUP HOLDINGS INC,53190C102,317846,8772550,SOLE
LIFE360 INC,532206109,10008,1063850,SOLE
LOWES COS INC,548661107,3713,933114,SOLE
LULULEMON ATHLETICA INC,550021109,12241,2178041,SOLE
MACYS INC,55616P104,257456,4616186,SOLE
MADISON SQUARE GARDEN ENTMT,558256103,76139,3444528,SOLE
MAPLEBEAR INC,565394103,1989924,73149606,SOLE
MERCADOLIBRE INC,58733R102,17197,40188357,SOLE
MERIT MED SYS INC,589889104,1610214,134018111,SOLE
MGM RESORTS INTERNATIONAL,552953101,179065,6206393,SOLE
MICROSOFT CORP,594918104,931856,482654815,SOLE
MINISO GROUP HLDG LTD,66981J102,133094,2994615,SOLE
MIRION TECHNOLOGIES INC,60471A101,2588579,60210348,SOLE
MONDELEZ INTL INC,609207105,38388,2398098,SOLE
MONGODB INC,60937P106,136932,42500954,SOLE
MONRO INC,610236101,181144,3255158,SOLE
MONSTER BEVERAGE CORP NEW,61174X109,1341965,90327664,SOLE
NATERA INC,632307104,1332751,214532928,SOLE
NATIONAL VISION HLDGS INC,63845R107,74684,2180026,SOLE
NETSKOPE INC,64119N608,465736,10586179,SOLE
NEW YORK TIMES CO,650111107,60766,3487968,SOLE
NEWAMSTERDAM PHARMA COMPANY,N62509109,1504747,42795005,SOLE
NORWEGIAN CRUISE LINE HLDG L,G66721104,100561,2476817,SOLE
NOVARTIS AG,66987V109,8222,1054389,SOLE
NU HLDGS LTD,G6683N103,20990656,336060403,SOLE
NVIDIA CORPORATION,67066G104,2143330,399902511,SOLE
OREILLY AUTOMOTIVE INC,67103H107,23101,2490519,SOLE
PEABODY ENERGY CORP,704551100,4562313,120992541,SOLE
PEABODY ENERGY CORP,704551100,223600,5929872,SOLE
PENN ENTERTAINMENT INC,707569109,131710,2536735,SOLE
PENSKE AUTOMOTIVE GRP INC,70959W103,37118,6455191,SOLE
PEPSICO INC,713448108,16067,2256449,SOLE
PERRIGO CO PLC,G97822103,32328,719945,SOLE
PHILIP MORRIS INTL INC,718172109,1622102,263104944,SOLE
POOL CORP,73278L105,19535,6057217,SOLE
PRIMO BRANDS CORPORATION,741623102,1689881,37346370,SOLE
PROCTER AND GAMBLE CO,742718109,24110,3704502,SOLE
PUBLIC STORAGE OPER CO,74460D109,12013,3469955,SOLE
QUEST DIAGNOSTICS INC,74834L100,18178,3464363,SOLE
QUIDELORTHO CORP,219798105,68311,2011759,SOLE
RALPH LAUREN CORP,751212101,10067,3156609,SOLE
REYNOLDS CONSUMER PRODS INC,76171L106,225555,5519331,SOLE
ROBLOX CORP,771049103,411547,57007490,SOLE
ROCKET PHARMACEUTICALS INC,77313F106,8468344,27606801,SOLE
ROKU INC,77543R102,31117,3115745,SOLE
ROLLINS INC,775711104,59099,3471475,SOLE
ROSS STORES INC,778296103,54111,8245975,SOLE
RTX CORPORATION,75513E101,1359585,227499358,SOLE
SAILPOINT INC,78781J109,966050,21330384,SOLE
SCHWAB CHARLES CORP,808513105,870072,83065774,SOLE
SHAKE SHACK INC,819047101,36385,3406000,SOLE
SHERWIN WILLIAMS CO,824348106,383437,132768896,SOLE
SIGNET JEWELERS LIMITED,G81276100,32863,3152219,SOLE
SIMPLY GOOD FOODS CO,82900L102,155823,3867527,SOLE
SIRIUSXM HOLDINGS INC,829933100,150253,3497139,SOLE
SMARTSTOP SELF STORAG REIT I,83192D402,93596,3522953,SOLE
SMITHFIELD FOODS INC,832248207,187805,4409661,SOLE
SMUCKER J M CO,832696405,33138,3598787,SOLE
SNOWFLAKE INC,833445109,281903,63583222,SOLE
SOMNIGROUP INTERNATIONAL INC,88023U101,1152332,97176158,SOLE
SONOS INC,83570H108,252865,3995267,SOLE
SOUTHWEST GAS HLDGS INC,844895102,1953518,153038600,SOLE
STITCH FIX INC,860897107,536780,2334993,SOLE
STUBHUB HLDGS INC,86384P109,931473,15686005,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1019472,284728335,SOLE
TEVA PHARMACEUTICAL INDS LTD,881624209,4300520,86870504,SOLE
THE REALREAL INC,88339P101,931549,9902366,SOLE
THREDUP INC,88556E102,422994,3997293,SOLE
TJX COS INC NEW,872540109,60964,8811737,SOLE
TOPGOLF CALLAWAY BRANDS CORP,131193104,355698,3379131,SOLE
TRACTOR SUPPLY CO,892356106,34060,1936992,SOLE
TRIPADVISOR INC,896945201,215859,3509867,SOLE
TRUPANION INC,898202106,79591,3444698,SOLE
TURNING PT BRANDS INC,90041L105,31792,3142957,SOLE
TYSON FOODS INC,902494103,69780,3789054,SOLE
UDEMY INC,902685106,536883,3763550,SOLE
ULTA BEAUTY INC,90384S303,6716,3671973,SOLE
UNILEVER PLC,904767704,45904,2721189,SOLE
UNION PAC CORP,907818108,1115610,263696736,SOLE
UNITED PARCEL SERVICE INC,911312106,42005,3508678,SOLE
UPWORK INC,91688F104,184755,3430900,SOLE
VALVOLINE INC,92047W101,94381,3389222,SOLE
VAXCYTE INC,92243G108,1289567,46450203,SOLE
VICTORIAS SECRET AND CO,926400102,89964,2441623,SOLE
VIRIDIAN THERAPEUTICS INC,92790C104,2212701,47750088,SOLE
VITA COCO CO INC,92846Q107,132033,5607442,SOLE
VITAL FARMS INC,92847W103,106277,4373299,SOLE
WARBY PARKER INC,93403J106,153707,4239239,SOLE
WAVE LIFE SCIENCES LTD,Y95308105,8391856,61428386,SOLE
WAVE LIFE SCIENCES LTD,Y95308105,380000,2781600,SOLE
WEIS MKTS INC,948849104,87204,6267351,SOLE
WILLIAMS SONOMA INC,969904101,24836,4854196,SOLE
WINMARK CORP,974250102,10763,5357499,SOLE
ZILLOW GROUP INC,98954M200,1031622,79486475,SOLE
ZOOM COMMUNICATIONS INC,98980L101,41901,3456833,SOLE
