Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,409153,39270505,SOLE,
AMAZON COM INC,023135106,157020,37424147,SOLE,
BRAZE INC,10576N102,641194,13907498,SOLE,
CONSTELLATION ENERGY CORP,21037T109,28451,7066375,SOLE,
COUPANG INC,22266T109,920068,15981581,SOLE,
CRANE COMPANY,224408104,81370,18151206,SOLE,
GDS HLDGS LTD,36165L108,380078,11413742,SOLE,
LIBERTY MEDIA CORP DEL,531229755,170806,16250483,SOLE,
MICROSOFT CORP,594918104,45495,16970545,SOLE,
OKTA INC,679295105,234744,32030819,SOLE,
ZSCALER INC,98980G102,167305,23615101,SOLE,
