Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,112780,17021885,SOLE,
AMAZON COM INC,023135106,483850,87276863,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,71,45045240,SOLE,
BROOKFIELD CORP,11271J107,1547135,64778542,SOLE,
BURFORD CAP LTD,G17977110,1035380,16535019,SOLE,
MARKEL GROUP INC,570535104,22135,33677960,SOLE,
MICROSOFT CORP,594918104,89165,37513499,SOLE,
MONDAY COM LTD,M7S64H106,86165,19462089,SOLE,
SHOPIFY INC,82509L107,259940,20059570,SOLE,
TRUPANION INC,898202106,425070,11736183,SOLE,
