Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,534089,70622619,SOLE
ALPHABET INC,02079K305,605692,93664282,SOLE
AMAZON COM INC,023135106,574016,109212274,SOLE
APA CORPORATION,03743Q108,50000,1051000,SOLE
BIOGEN INC,09062X103,455605,62345003,SOLE
BRILLIANT EARTH GROUP INC,109504100,100000,158000,SOLE
CANADA GOOSE HLDGS INC,135086106,2705025,21504952,SOLE
CARVANA CO,146869102,47322,9894083,SOLE
CITIGROUP INC,172967424,1405065,99745529,SOLE
CLEAR SECURE INC,18467V109,125000,3238750,SOLE
COINBASE GLOBAL INC,19260Q107,203672,35078482,SOLE
CROCS INC,227046109,511399,54310622,SOLE
CVS HEALTH CORP,126650100,1325638,89811996,SOLE
DAVE & BUSTERS ENTMT INC,238337109,2201507,38680477,SOLE
DELTA AIR LINES INC DEL,247361702,768268,33496499,SOLE
ENERGY TRANSFER L P,29273V100,4883763,90789160,SOLE
EXPEDIA GROUP INC,30212P303,278797,46865763,SOLE
FIDELITY WISE ORIGIN BITCOIN,315948109,620226,44637665,SOLE
GENERAL MTRS CO,37045V100,1526763,71803659,SOLE
IAC INC,44891N208,1684663,77393439,SOLE
ILLUMINA INC,452327109,458669,36390795,SOLE
JD.COM INC,47215P106,785920,32317032,SOLE
JPMORGAN CHASE & CO.,46625H100,29383,7207631,SOLE
KOSMOS ENERGY LTD,500688106,18004787,41050915,SOLE
LENNAR CORP,526057302,12500,1363375,SOLE
MATTEL INC,577081102,2311654,44915434,SOLE
META PLATFORMS INC,30303M102,145666,83956284,SOLE
NEW FORTRESS ENERGY INC,644393100,2482800,20632071,SOLE
NORWEGIAN CRUISE LINE HLDG L,G66721104,3590093,68068171,SOLE
NVIDIA CORPORATION,67066G104,626952,67949071,SOLE
ONEMAIN HLDGS INC,68268W103,1072493,52423466,SOLE
PELOTON INTERACTIVE INC,70614W100,2788044,17620441,SOLE
PRECIGEN INC,74017N105,17372301,25884728,SOLE
QXO INC,82846H405,7284827,98636557,SOLE
ROYALTY PHARMA PLC,G7709Q104,2972646,92538459,SOLE
SEADRILL LTD,G7997W102,1972713,49317826,SOLE
SOFI TECHNOLOGIES INC,83406F102,3534865,41110484,SOLE
UBS GROUP AG,H42097107,2043053,62578716,SOLE
UNITED AIRLS HLDGS INC,910047109,670624,46306592,SOLE
