Company,CUSIP,Shares,Value,Discretion,PutCall
3M Co.,88579Y101,27840,3593866,SOLE,
Abbott Labs,002824100,103378,11693086,SOLE,
AbbVie Inc.,00287Y109,22227,3949738,SOLE,
Accenture plc Class A,G1151C101,2282326,802899464,SOLE,
"Adobe Systems,  Inc.",00724F101,43992,19562363,SOLE,
Air Products & Chemicals,009158106,14580,4228783,SOLE,
Alphabet Inc Cap Stk Cl A,02079K305,3231336,611691905,SOLE,
Amphenol Corp,032095101,2519676,174991498,SOLE,
AON plc Registered Shs,G0403H108,8830,3171383,SOLE,
"Apple, Inc.",037833100,3329243,833709032,SOLE,
"Automatic Data Processing, Inc",053015103,1660416,486053576,SOLE,
Ball Corporation,058498106,44441,2450032,SOLE,
Becton Dickinson & Co.,075887109,14732,3342249,SOLE,
Best Buy Co. Inc.,086516101,56875,4879875,SOLE,
Booz Allen Hamilton Holding Co,099502106,47440,6105528,SOLE,
Bristol Myers Squibb Co.,110122108,26375,1491770,SOLE,
Broadridge Financial Solutions,11133T103,1622179,366758450,SOLE,
"Cadence Design Systems, Inc.",127387108,421257,126570878,SOLE,
Campbell Soup Company,134429109,129428,5420445,SOLE,
Church & Dwight Co Inc,171340102,56010,5864807,SOLE,
Clorox Company,189054109,70495,11449093,SOLE,
Coca-Cola Company,191216100,125358,7804789,SOLE,
Cognizant Technology Solutions,192446102,125609,9659332,SOLE,
Colgate Palmolive Co,194162103,97759,8887271,SOLE,
Copart Inc. (DE),217204106,3506594,201243430,SOLE,
Crown Holdings Inc.,228368106,89318,7385705,SOLE,
Donaldson Co. Inc.,257651109,77110,5193359,SOLE,
Ecolab Inc,278865100,69614,16311952,SOLE,
Emerson Elec Co,291011104,93430,11578780,SOLE,
Encompass Health Corp,29261A100,81730,7547766,SOLE,
Equifax Inc,294429105,1231044,313731563,SOLE,
F5 Networks Inc.,315616102,22280,5602752,SOLE,
FactSet Research Systems Inc.,303075105,12000,5763360,SOLE,
General Mills Inc.,370334104,130715,8335696,SOLE,
Genpact Limited,G3922B107,195485,8396081,SOLE,
Gentex Corporation,371901109,178920,5140372,SOLE,
Genuine Parts Company,372460105,32554,3801005,SOLE,
Hologic Inc.,436440101,50760,3659288,SOLE,
Home Depot Inc.,437076102,484242,188365296,SOLE,
Idexx Laboratories Inc.,45168D104,9020,3729229,SOLE,
Intuit Inc.,461202103,970689,610078037,SOLE,
Johnson & Johnson,478160104,1534765,221957714,SOLE,
Kellanova,487836108,11432,925649,SOLE,
"Keysight Technologies, Inc.",49338L103,39010,6266176,SOLE,
KLA Corporation,482480100,533827,336375069,SOLE,
Kroger Company,501044101,120630,7376525,SOLE,
"Labcorp Holdings, Inc.",504922105,36590,8390819,SOLE,
Lennox International Inc.,526107107,5980,3643614,SOLE,
Levi Strauss & Co,52736R102,213270,3689571,SOLE,
Linde plc,G54950103,1505,630098,SOLE,
"Manhattan Associates, Inc.",562750109,16030,4331947,SOLE,
Marriott International Inc,571903202,2970,828452,SOLE,
Marsh & McLennan Company Inc,571748102,3040551,645843438,SOLE,
Mastercard Inc,57636Q104,941593,495814626,SOLE,
"MAXIMUS, Inc.",577933104,44220,3301023,SOLE,
McDonald's Corp.,580135101,609109,176574608,SOLE,
Microchip Technology Inc,595017104,38850,2228048,SOLE,
Microsoft Corp,594918104,2055344,866327496,SOLE,
"MSCI, Inc.",55354G100,10350,6210104,SOLE,
Nike Inc,654106103,3387637,256342492,SOLE,
Omnicom Group Inc,681919106,78996,6796816,SOLE,
ON Semiconductor Corp,682189105,47840,3016312,SOLE,
Oracle Corp,68389X105,147364,24556737,SOLE,
Paychex Inc.,704326107,9830,1378363,SOLE,
PepsiCo Inc.,713448108,2554303,388407314,SOLE,
Procter & Gamble Co,742718109,1729493,289949501,SOLE,
Raytheon Technologies Corp,75513E101,17756,2054724,SOLE,
Ross Stores Inc,778296103,40800,6171816,SOLE,
Sherwin-Williams Co,824348106,534062,181543696,SOLE,
Starbucks Corp,855244109,30221,2757666,SOLE,
Stryker Corp,863667101,1763522,634956096,SOLE,
T Rowe Price Group Inc,74144T108,31950,3613226,SOLE,
Techne Corp,09073M104,54760,3944363,SOLE,
Texas Instruments Inc,882508104,1835681,344208544,SOLE,
TJX Companies Inc,872540109,27771,3355015,SOLE,
Toro Company,891092108,45550,3648555,SOLE,
Tractor Supply Co,892356106,126150,6693519,SOLE,
United Parcel Svc Cl B,911312106,22874,2884411,SOLE,
Unitedhealth Group Inc,91324P102,716067,362229400,SOLE,
Veeva Systems Inc. Class A,922475108,25211,5300613,SOLE,
Verisk Analytics Inc,92345Y106,496246,136681036,SOLE,
Waste Management,94106L109,1481365,298924643,SOLE,
Waters Corp,941848103,44412,16475964,SOLE,
"Zoetis, Inc.",98978V103,2123398,345965236,SOLE,
Taiwan Semiconductor Manuf ADR,874039100,20538,4056050,SOLE,
