Company,CUSIP,Shares,Value,Discretion,PutCall
"Agilent Technologies, Inc. (A)",00846U101,10700,1421281,SOLE,
Accenture Plc (ACN),G1151C101,3384681,421189704,SOLE,
Arrow Electronics Inc (ARW),042735100,1764153,376487892,SOLE,
Avnet Inc (AVT),053807103,3772861,335105514,SOLE,
Avantor Inc (AVTR),05352A100,24637310,243909369,SOLE,
Baxter International Inc (BAX),071813109,14285228,304561061,SOLE,
Becton Dickinson & Co (BDX),075887109,5681708,859812872,SOLE,
CRH Plc  (CRH),G25508105,17500,1872500,SOLE,
"D R Horton, Inc. (DHI)",23331A109,3505800,571024704,SOLE,
Dnow Inc (DNOW),67011P100,4343617,56336712,SOLE,
Epam Sys Inc (EPAM),29414B104,587300,46602255,SOLE,
Genpact LTD (G),G3922B107,10000,275000,SOLE,
General Motors Co (GM),35045V100,12873506,992289842,SOLE,
Icon Plc (ICLR),G4705A100,3100615,538607832,SOLE,
Iqvia Hldgs Inc (IQV),46266C105,768045,148401655,SOLE,
J P Morgan Chase (JPM),46625H100,2500,818325,SOLE,
Lear Corporation (LEA),521865204,1455933,195182378,SOLE,
Lennar Corporation - A (LEN),526057104,11316279,1024010087,SOLE,
Lennar Corporation - B SHS (LEN/B),526057302,364059,32295674,SOLE,
Meritage Homes Corp (MTH),59001A102,1297494,108794872,SOLE,
Nov Inc (NOV),62955J103,5620019,104251352,SOLE,
Oshkosh Corp (OSK),688239201,2558680,392706206,SOLE,
PulteGroup Inc. (PHM),745867101,5455949,748610762,SOLE,
Charles Schwab Corporation (SCHW),808513105,12500,1153375,SOLE,
SLB Ltd (SLB),806857108,3802344,176770973,SOLE,
"Toll Brothers, Inc. (TOL)",889478103,5630109,927560458,SOLE,
Union Pacific Corp (UNP),907818108,2032,552704,SOLE,
Vanguard  0-3M T-Bill ETF (VBIL),922040845,662000,50100160,SOLE,
