Company,CUSIP,Shares,Value,Discretion
ASML HOLDING N V,N07059210,126242,135061266,SOLE
EQUIFAX INC,294429105,146352,31755457,SOLE
FAIR ISAAC CORP,303250104,769424,1300803603,SOLE
INTUIT,461202103,221236,146551151,SOLE
MASTERCARD INCORPORATED,57636Q104,1487409,849132050,SOLE
MOODYS CORP,615369105,1317292,672938618,SOLE
MSCI INC,55354G100,60770,34865572,SOLE
S&P GLOBAL INC,78409V104,1758179,918806764,SOLE
VISA INC,92826C839,916410,321394151,SOLE
