Company,CUSIP,Shares,Value,Discretion
AGCO Corporation,001084102,1804564,186158822,SOLE
"Alexandria Real Estate Equities, Inc.",015271109,156187,11343862,SOLE
"Alphabet Inc., Class A",02079K305,2854413,503033259,SOLE
"Alphabet Inc., Class C",02079K107,650390,115372682,SOLE
"Amazon.com, Inc.",023135106,3269161,717221231,SOLE
American Express Co.,025816109,270500,86284092,SOLE
American Homes 4 Rent - Class A,02665T306,250360,9030485,SOLE
American Tower Corp,03027X100,91650,20256483,SOLE
"ANGI Inc., Class A",00183L201,1181911,18035962,SOLE
Apple Inc.,037833100,1265,259540,SOLE
"Applied Materials, Inc.",038222105,4957593,907586623,SOLE
"AppLovin Corp., Class A",03831W108,215073,75292756,SOLE
"AvalonBay Communities, Inc.",053484101,57820,11766370,SOLE
Bank of America Corp.,060505104,1153397,54578746,SOLE
Bank of N.T. Butterfield & Son Limited,G0772R208,1062264,47037050,SOLE
Bank of New York Mellon Corp.,064058100,1898430,172965937,SOLE
"Berkshire Hathaway Inc., Class A",084670108,1065,776172000,SOLE
"Berkshire Hathaway Inc., Class B",084670702,553845,269041285,SOLE
"Brixmor Property Group, Inc.",11120U105,498390,12978076,SOLE
"BXP, Inc.",101121101,209630,14143736,SOLE
Camden Property Trust,133131102,78650,8863069,SOLE
Capital One Financial Corp.,14040H105,8955742,1905423658,SOLE
Charles Schwab Corp.,808513105,296438,27047003,SOLE
Chubb Ltd.,H1467J104,1071823,310528656,SOLE
Cigna Group,125523100,655889,216823786,SOLE
"Community Healthcare Trust, Inc.",20369C106,332280,5525816,SOLE
ConocoPhillips,20825C104,1585587,142290578,SOLE
COPT Defense Properties,22002T108,147490,4067774,SOLE
"Coterra Energy, Inc.",127097103,9338141,237002019,SOLE
"Coupang, Inc., Class A",22266T109,5754998,172419740,SOLE
"Cousins Properties, Inc.",222795502,460235,13820857,SOLE
"Crown Castle, Inc.",22822V101,42300,4345479,SOLE
"Crown Holdings, Inc.",228368106,8570,882539,SOLE
CVS Health Corporation,126650100,11586790,799256774,SOLE
Darling Ingredients Inc.,237266101,2443570,92709046,SOLE
Davis Select Financial ETF,23908L108,2129860,91456200,SOLE
Davis Select International ETF,23908L405,3890080,100597480,SOLE
Davis Select U.S. Equity ETF,23908L207,3383338,156580879,SOLE
Davis Select Worldwide ETF,23908L306,1916287,79411504,SOLE
"Digital Realty Trust, Inc.",253868103,68460,11934632,SOLE
"Douglas Emmett, Inc",25960P109,276750,4162320,SOLE
"Eastgroup Properties, Inc.",277276101,46130,7709246,SOLE
"Equinix, Inc.",29444U700,15663,12459447,SOLE
Equity Residential,29476L107,101725,6865420,SOLE
"Essex Property Trust, Inc.",297178105,28541,8088519,SOLE
"Everest Group, Ltd.",G3223R108,39500,13424075,SOLE
"Extra Space Storage, Inc.",30225T102,56765,8369432,SOLE
Exxon Mobil Corp.,30231G102,2066,222715,SOLE
Fifth Third Bancorp,316773100,2512856,103353767,SOLE
Full Truck Alliance Co. Ltd.,35969L108,11635925,137420274,SOLE
"Healthpeak Properties, Inc.",42250P103,389186,6814647,SOLE
Hudson Pacific Properties Inc.,444097109,2295973,6290966,SOLE
Humana Inc.,444859102,1652734,404060408,SOLE
IAC Inc.,44891N208,2280775,85164138,SOLE
iShares S&P 500 Value Index Fund,464287408,10978,2145321,SOLE
"JD.com Inc., Class A, ADR",47215P106,343487,11211416,SOLE
Johnson Controls International plc,G51502105,245323,25911015,SOLE
JPMorgan Chase & Co.,46625H100,636042,184394966,SOLE
"KE Holdings Inc., Class A, ADR",482497104,1852812,32868885,SOLE
Lam Research Corp.,512807306,12280,1195335,SOLE
Loews Corp.,540424108,597343,54752459,SOLE
M & T Bank Corp,55261F104,50948,9883403,SOLE
"Markel Group, Inc",570535104,371131,741282215,SOLE
"Meta Platforms, Inc., Class A",30303M102,2107814,1555756802,SOLE
MGM Resorts International,552953101,23821109,819207939,SOLE
Microsoft Corp.,594918104,247956,123335794,SOLE
"Mid-America Apartment Communities, Inc.",59522J103,53050,7851931,SOLE
NetEase Inc. - ADR,64110W102,593347,79852639,SOLE
NetSTREIT Corp.,64119V303,220510,3733234,SOLE
"Noah Holdings Ltd., Class A, ADS",65487X102,1021585,12197725,SOLE
NVIDIA Corp.,67066G104,89135,14082438,SOLE
Oracle Corporation,68389X105,131574,28766024,SOLE
Owens Corning,690742101,1769093,243285670,SOLE
"PNC Financial Services Group, Inc.",693475105,502357,93649392,SOLE
"Prologis, Inc.",74340W103,129226,13584237,SOLE
"Public Storage, Inc.",74460D109,40400,11854168,SOLE
Quest Diagnostics Inc.,74834L100,1354420,243294465,SOLE
Realty Income Corp.,756109104,48870,2815401,SOLE
Regency Centers Corporation,758849103,121830,8677951,SOLE
RenaissanceRe Holdings Ltd,G7496G103,143067,34750974,SOLE
"Restaurant Brands International, Inc.",76131D103,3419715,226692908,SOLE
"Rexford Industrial Realty, Inc.",76169C100,375010,13339106,SOLE
RH,74967X103,2240,423382,SOLE
"Rocket Companies, Inc., Class A",77311W101,3132678,44421374,SOLE
SAP SE - ADR,803054204,46769,14222453,SOLE
"Sea Ltd., Class A, ADR",81141R100,448305,71701902,SOLE
"Simon Property Group, Inc.",828806109,58723,9440309,SOLE
