Company,CUSIP,Shares,Value,Discretion
"Albertsons Companies, Inc.",013091103,3046497,65530151,SOLE
"Applied Materials, Inc.",038222105,364517,66732128,SOLE
Bank of America Corporation,060505104,2100071,99375360,SOLE
Baxter International Inc.,071813109,2821514,85435444,SOLE
"Berkshire Hathaway, Inc. C",084670702,117348,57004138,SOLE
CSX Corporation,126408103,3106993,101381181,SOLE
"Coterra Energy, Inc.",127097103,4388365,111376704,SOLE
Citigroup Inc.,172967424,1405016,119594962,SOLE
The Walt Disney Company,254687106,659906,81834943,SOLE
"Hologic, Inc.",436440101,1382690,90096080,SOLE
Huntington Ingalls Industries,446413106,331511,80046646,SOLE
International Paper Company,460146103,1477858,69208090,SOLE
The Kroger Co.,501044101,888544,63735261,SOLE
"Mohawk Industries, Inc.",608190104,684077,71718633,SOLE
Newmont Corporation,651639106,261910,15258877,SOLE
Public Service Enterprise Group,744573106,1025471,86324149,SOLE
Southwest Airlines Co.,844741108,2853951,92582171,SOLE
Teva Pharmaceutical Industries,881624209,5846512,97987541,SOLE
"Warner Bros. Discovery, Inc.",934423104,8547238,97951347,SOLE
Wells Fargo & Company,949746101,1079136,86460376,SOLE
The AES Corporation,00130H105,8067687,84872067,SOLE
Alphabet Inc. Cl A,02079K305,434674,76602599,SOLE
Barrick Mining Corporation,06849F108,3080752,64141257,SOLE
Capital One Financial Corp,14040H105,532945,113389378,SOLE
EQT Corporation,26884L109,1158073,67538818,SOLE
Fidelity National Information Services,31620M106,1091275,88840698,SOLE
GE HealthCare Technologies,36266G107,855694,63381254,SOLE
General Motors Company,37045V100,1538799,75724299,SOLE
Incyte Corporation,45337C102,1140057,77637882,SOLE
"Kinder Morgan, Inc.",49456B101,2640982,77644871,SOLE
"Match Group, Inc.",57667L107,2012336,62161059,SOLE
"PayPal Holdings, Inc.",70450Y103,1386566,103049585,SOLE
"Zimmer Biomet Holdings, Inc.",98956P102,927258,84575202,SOLE
Willis Towers Watson PLC,G96629103,257128,78809732,SOLE
Perrigo Company PLC,G97822103,3287671,87846570,SOLE
Flex Ltd.,Y2573F102,1770524,88384558,SOLE
