Company,CUSIP,Shares,Value,Discretion,PutCall
ACCENTURE PLC IRELAND,G1151C101,1219936,370141,SOLE,
ALCON INC,H01301128,6371303,568071,SOLE,
AMAZON COM INC,023135106,937004,181076,SOLE,
ANALOG DEVICES INC,032654105,928920,212035,SOLE,
BOOKING HLDGS INC,09857L108,86205,341501,SOLE,
CADENCE DESIGN SYSTEM INC,127387108,303409,93374,SOLE,
CANADIAN NATL RY CO,136375102,9658,1141,SOLE,
COPART INC,217204106,2369500,128332,SOLE,
EQUIFAX INC,294429105,695966,168744,SOLE,
LAUDER ESTEE COS INC,518439104,1409881,150011,SOLE,
FAIR ISAAC CORP,303250104,317733,472996,SOLE,
FERRARI N V,N3167Y103,675090,275450,SOLE,
GENERAL ELECTRIC CO,369604301,2849084,452919,SOLE,
INTERCONTINENTAL EXCHANGE INC,45866F104,2670788,365604,SOLE,
INTUIT,461202103,594507,390716,SOLE,
LINDE PLC,G54950103,354541,155576,SOLE,
MARSH & MCLENNAN COS,571748102,1486981,313337,SOLE,
MICROSOFT CORP,594918104,1211103,541302,SOLE,
MOODYS CORP,615369105,746780,314342,SOLE,
MSCI INC,55354G100,461682,222415,SOLE,
PROCTER AND GAMBLE CO,742718109,1060884,174961,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,524248,289909,SOLE,
VISA INC,92826C839,1329954,349073,SOLE,
WARNER MUSIC GROUP CORP,934550203,7463807,228766,SOLE,
WARTERS CORP,941848103,878652,254915,SOLE,
ZOETIS INC,98978V103,1495188,259206,SOLE,
