Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,75000,18232500,SOLE,
AMRIZE LTD,H2927K103,880000,42706400,SOLE,
APOLLO GLOBAL MANAGEMENT INC,03769M106,1337000,178181990,SOLE,
ARBOR REALTY TRUST INC,038923108,1700000,20757000,SOLE,
ARRIVENT BIOPHARMA INC,04272N102,421278,7772579,SOLE,
ASHLAND INC,044186104,1700000,81447000,SOLE,
ATLAS ENERGY SOLUTIONS INC,642045108,5366363,61015547,SOLE,
DIAMEDICA THERAPEUTICS INC,25253X207,3269761,17644158,SOLE,
ELEVANCE HEALTH INC,036752103,340900,110151608,SOLE,
ENERGY TRANSFER LP,29273V100,13095000,224710200,SOLE,
ENTERPRISE PRODUCTS PARTNERS,293792107,1323635,41390066,SOLE,
FIDELIS INSURANCE HOLDINGS L,G3398L118,6662469,120923812,SOLE,
FINANCE OF AMERICA COS INC,31738L206,1286040,28845877,SOLE,
FRANKLIN TEMPLETON ETF TR,35473P827,5750,261066,SOLE,
GANNETT CO INC,36472T109,5867209,24231573,SOLE,
GE HEALTHCARE TECHNOLOGY,36266G107,600000,45060000,SOLE,
ISHARES TR,46434V738,38388,2614991,SOLE,
ISHARES INC,464286509,12531,633442,SOLE,
ISHARES TR,464287465,57453,5364387,SOLE,
ISHARES INC,46434G822,14305,1147404,SOLE,
ISHARES INC,464286665,7610,392372,SOLE,
KBR INC,48242W106,1750000,82757500,SOLE,
LITHIA MOTORS INC,536797103,317602,100362232,SOLE,
MANCHESTER UNITED PLC,G5784H106,2857877,43268258,SOLE,
MIRION TECHNOLOGIES INC,60471A101,8383441,194998838,SOLE,
MOTOROLA SOLUTIONS INC,620076307,135000,61734150,SOLE,
MP MATERIALS CORP,553368101,3000000,201210000,SOLE,
MR COOPER GROUP INC,62482R107,2860600,602985874,SOLE,
OCCIDENTAL PETROLEUM CORP,674599105,337500,15946875,SOLE,
ONEMAIN HOLDINGS INC,68268W103,839000,47369940,SOLE,
REGAL REXNORD CORP,758750103,735766,105538275,SOLE,
SEA LTD,81141R100,326058,58276346,SOLE,
SUNOCO LP,86765K109,1620000,81016200,SOLE,
SUNOPTA INC,8676EP108,6667109,39069259,SOLE,
THE CIGNA GROUP,125523100,325000,93681250,SOLE,
VANGUARD INT EQUITY INDEX F,922042874,24693,1970501,SOLE,
VANGUARD SCOTTSDALE FDS,92206C706,25028,1502431,SOLE,
VANGUARD INDEX FDS,922908363,43593,26695481,SOLE,
VANGUARD MUN BD FDS,922907746,12876,644701,SOLE,
VERTIV HOLDINGS CO,92537N108,2157789,325524049,SOLE,
WILLSCOT HOLDINGS CORP,971378104,4031016,85094748,SOLE,
