Company,CUSIP,Shares,Value,Discretion,PutCall
"Agilent Technologies, Inc. (A)",00846U101,10700,1262707,SOLE,
Arrow Electronics Inc (ARW),042735100,1912699,243735234,SOLE,
Avnet Inc (AVT),053807103,3962937,210352696,SOLE,
Citigroup Inc (C),172967424,16175563,1376863923,SOLE,
CRH PLC  (CRH),G25508105,26937,2472817,SOLE,
"D R Horton, Inc. (DHI)",23331A109,3681063,474562642,SOLE,
Genpact LTD (G),G3922B107,11018,484902,SOLE,
General Motors Co (GM),35045V100,23654358,1164030957,SOLE,
Goldman Sachs (GS),38141G104,2500,1769375,SOLE,
Icon PLC (ICLR),G4705A100,17633,2564720,SOLE,
J P Morgan Chase (JPM),46625H100,5000,1449550,SOLE,
Lear Corporation (LEA),521865204,1841647,174919632,SOLE,
Lennar Corporation - A (LEN),526057104,9493585,1050085437,SOLE,
Lennar Corporation - B SHS (LEN/B),526057302,364059,38317210,SOLE,
Millrose Properties (MRP),601137102,7887516,224873081,SOLE,
Morgan Stanley (MS),617446448,10000,1408600,SOLE,
Meritage Homes Corp (MTH),59001A102,1491955,99916226,SOLE,
NOV INC (NOV),62955J103,4982516,61932674,SOLE,
Oshkosh Corp (OSK),688239201,2554406,290027257,SOLE,
PulteGroup Inc. (PHM),745867101,5580428,588511937,SOLE,
Charles Schwab Corporation (SCHW),808513105,20000,1824800,SOLE,
Stellantis NV (STLA),N82405106,36000,361080,SOLE,
Terex Corp (TEX),880779103,1499933,70031872,SOLE,
"Toll Brothers, Inc. (TOL)",889478103,5601916,639346673,SOLE,
Union Pacific Corp (UNP),907818108,2032,467523,SOLE,
