Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,689712,58480639,SOLE
ALPHABET INC,02079K305,595490,112726336,SOLE
AMAZON COM INC,023135106,609896,133804997,SOLE
APA CORPORATION,03743Q108,50000,1154500,SOLE
BIOGEN INC,09062X103,413960,63302707,SOLE
BRILLIANT EARTH GROUP INC,109504100,100000,210000,SOLE
CANADA GOOSE HLDGS INC,135086106,3854520,38660838,SOLE
CITIGROUP INC,172967424,1541308,108492636,SOLE
COINBASE GLOBAL INC,19260Q107,203401,50504430,SOLE
CROCS INC,227046109,445227,48765674,SOLE
CVS HEALTH CORP,126650100,1298429,58286461,SOLE
DAVE & BUSTERS ENTMT INC,238337109,1777260,51878211,SOLE
DELTA AIR LINES INC DEL,247361702,947509,57324289,SOLE
ENERGY TRANSFER L P,29273V100,5091882,99749973,SOLE
EVERI HLDGS INC,30034T103,300310,4057184,SOLE
EXPAND ENERGY CORPORATION,165167735,236911,23584509,SOLE
EXPEDIA GROUP INC,30212P303,442429,82437856,SOLE
FIDELITY WISE ORIGIN BITCOIN,315948109,305603,24931093,SOLE
FISERV INC,337738108,10042,2062789,SOLE
GENERAL MTRS CO,37045V100,1531144,81564037,SOLE
IAC INC,44891N208,1667261,71925627,SOLE
ILLUMINA INC,452327109,409955,54782256,SOLE
JD.COM INC,47215P106,100000,3467000,SOLE
JPMORGAN CHASE & CO.,46625H100,29386,7044210,SOLE
KOSMOS ENERGY LTD,500688106,17147729,58645233,SOLE
LENNAR CORP,526057302,12500,1651875,SOLE
MATTEL INC,577081102,2532472,44900728,SOLE
META PLATFORMS INC,30303M102,147628,86437760,SOLE
NORWEGIAN CRUISE LINE HLDG L,G66721104,2483809,63908400,SOLE
NVIDIA CORPORATION,67066G104,608563,81723891,SOLE
ONEMAIN HLDGS INC,68268W103,1263145,65847752,SOLE
PELOTON INTERACTIVE INC,70614W100,3817374,33211152,SOLE
PRECIGEN INC,74017N105,17881246,20026995,SOLE
QXO INC,82846H405,7733030,122955177,SOLE
ROYALTY PHARMA PLC,G7709Q104,2875089,73343527,SOLE
SEADRILL 2021 LTD,G7997W102,1676777,65276913,SOLE
SOFI TECHNOLOGIES INC,83406F102,4251680,65475866,SOLE
SPDR S&P 500 ETF TR,78462F103,3463,2029363,SOLE
TEVA PHARMACEUTICAL INDS LTD,881624209,100000,2204000,SOLE
TRAVEL PLUS LEISURE CO,894164102,116599,5882399,SOLE
UBS GROUP AG,H42097107,2042420,61926182,SOLE
UNITED AIRLS HLDGS INC,910047109,725244,70421212,SOLE
WESTERN ALLIANCE BANCORP,957638109,28282,2362659,SOLE
