Company,CUSIP,Shares,Value,Discretion
Unilever PLC ADR,904767704,235669,13970458,SOLE
"A-Mark Precious Metals, Inc.",00181T107,9000,232830,SOLE
Alphabet Inc.,02079K107,1166413,284079886,SOLE
Altria Group Inc.,02209S103,4200,277452,SOLE
America's CAR MART Inc,03062T105,133000,3884930,SOLE
Amplify Energy Corp,03212B103,230000,1207500,SOLE
Aon PLC,G0403H108,12915,4605231,SOLE
Armstrong World Industries,04247X102,759285,148827453,SOLE
BNY Mellon Corp.,064058100,394729,43009672,SOLE
Berkshire Hathaway B,084670702,320356,161055775,SOLE
Canadian Natural Resources Ltd,136385101,20908511,668236012,SOLE
Cato Corp,149205106,105445,443923,SOLE
Charles Schwab Corp,808513105,4194646,400462854,SOLE
Cisco Systems Inc.,17275R102,360176,24643242,SOLE
Clorox Company,189054109,58995,7274083,SOLE
Coca-Cola Co.,191216100,2136227,141674575,SOLE
Cognizant Technology Solutions,192446102,3299434,221293038,SOLE
Colgate-Palmolive,194162103,793900,63464366,SOLE
Comcast Cl A,20030N101,1169000,36729980,SOLE
ConocoPhillips,20825C104,1587743,150184610,SOLE
"Copart, Inc.",217204106,75195,3381519,SOLE
Darling Ingredients Inc.,237266101,1486315,45882544,SOLE
Devon Energy Corp,25179M103,521166,18272080,SOLE
Diamondback Energy Inc,25278X109,1014468,145170371,SOLE
EOG Resources Inc,26875P101,1219188,136695359,SOLE
Ebay Inc.,278642103,1577038,143431606,SOLE
"Elevance Health, Inc.",036752103,334373,108042604,SOLE
Embecta Corp,29082K105,2191706,30924972,SOLE
Fair Isaac & Co.,303250104,2534,3792207,SOLE
Fox Corp A,35137L105,1520292,95869635,SOLE
Fox Corp B,35137L204,5798698,332207408,SOLE
Goldman Sachs Grp,38141G104,6900,5494815,SOLE
Graftech International LTD,384313607,1068938,13703790,SOLE
Ingredion Inc,457187102,1442086,176093121,SOLE
Johnson & Johnson,478160104,1287234,238678999,SOLE
Kenvue Inc,49177J102,7939962,128865583,SOLE
L3Harris Technologies,502431109,416780,127288780,SOLE
Legacy Housing Corporation,52472M101,60000,1650600,SOLE
Lockheed Martin Corp.,539830109,216881,108269164,SOLE
MSCI Inc.,55354G100,10900,6184769,SOLE
Marsh & McLennan Cos,571748102,17345,3495538,SOLE
Masco Corporation,574599106,252995,17808318,SOLE
Mastercard Inc.,57636Q104,11670,6638013,SOLE
Microsoft Corp.,594918104,1028018,532461923,SOLE
Moody's Corp.,615369105,12425,5920264,SOLE
News Corp CL B,65249B208,8140,281237,SOLE
News Corp Cl A,65249B109,7422037,227930756,SOLE
Northern Trust Corp.,665859104,9500,1278700,SOLE
Northrop Grumman Corp,666807102,197840,120547869,SOLE
Olin Corp,680665205,3974154,99314108,SOLE
"PepsiCo, Inc.",713448108,2060313,289350358,SOLE
Philip Morris Intl,718172109,6300,1021860,SOLE
Procter & Gamble,742718109,1941870,298368325,SOLE
"Reading International, Inc.",755408101,275000,404250,SOLE
"Reliance, Inc.",759509102,702190,197196018,SOLE
Spdr S&P 500 ETF,78462F103,4467,2975826,SOLE
State Street Corp,857477103,1051860,122026279,SOLE
Sysco Corporation,871829107,1252756,103151929,SOLE
Talen Energy Corp,87422Q109,360100,153179338,SOLE
Teledyne Technologies Inc Com,879360105,2400,1406496,SOLE
Tyson Foods Inc,902494103,2548535,138385450,SOLE
U-Haul Holding Company,023586100,330774,18877272,SOLE
U-Haul Holding Company Class B,023586506,5801620,295302458,SOLE
UnitedHealth Group,91324P102,174588,60285236,SOLE
VISA Inc.,92826C839,732,249890,SOLE
Verisk Analytics Inc.,92345Y106,13160,3309872,SOLE
Verizon Commun.,92343V104,40000,1758000,SOLE
Walt Disney Company,254687106,1357848,155473630,SOLE
Warner Bros Discovery Inc,934423104,7338337,143317722,SOLE
Wells Fargo & Co,949746101,126012,10562326,SOLE
