Company,CUSIP,Shares,Value,Discretion,PutCall
58 COM INC,31680Q104,5248519,146959,SOLE,
AFFILIATED MANAGERS GROUP,008252108,16645,2419,SOLE,
ALIBABA GROUP HLDG LTD,01609W102,3335,293,SOLE,
ALIGN TECHNOLOGY INC,016255101,48118,4626,SOLE,
ALPHABET INC,02079K305,387556,307119,SOLE,
ALPHABET INC,02079K107,424132,327354,SOLE,
AMAZON COM INC,023135106,447506,335571,SOLE,
AMERICAN ELEC PWR INC,025537101,15485,975,SOLE,
AMERICAN EXPRESS CO,025816109,672484,49818,SOLE,
ARCH CAP GROUP LTD,G0450A105,9488,819,SOLE,
AT&T INC,00206R102,82445,3506,SOLE,
ATHENAHEALTH INC,04685W103,302156,31778,SOLE,
AUTOHOME INC,05278C107,50167,1268,SOLE,
BAIDU INC,056752108,2645459,434940,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,4800,1171781,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,3956534,644836,SOLE,
BUILDERS FIRSTSOURCE INC,12008R107,5007377,54931,SOLE,
CABLE ONE INC,12685J105,3228,2007,SOLE,
CAPITAL ONE FINL CORP,14040H105,1200000,104688,SOLE,
CARMAX INC,143130102,10052354,647271,SOLE,
CATERPILLAR INC DEL,149123101,6848,635,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,15892,4576,SOLE,
CHIPOTLE MEXICAN GRILL INC,169656105,539633,203614,SOLE,
COCA COLA CO,191216100,58788,2437,SOLE,
COSTCO WHSL CORP NEW,22160K105,440162,70474,SOLE,
CRESUD S A C I F Y A,226406106,616883,9728,SOLE,
CVS HEALTH CORP,126650100,13401,1057,SOLE,
D R HORTON INC,23331A109,410000,11205,SOLE,
DANAHER CORP DEL,235851102,1733275,134918,SOLE,
DENTSPLY SIRONA INC,24906P109,9102714,525500,SOLE,
EDISON INTL,281020107,42900,3088,SOLE,
EMCOR GROUP INC,29084Q100,1390969,98425,SOLE,
EXPEDITORS INTL WASH INC,302130109,7978,423,SOLE,
EXXON MOBIL CORP,30231G102,45201,4080,SOLE,
FACEBOOK INC,30303M102,4624,532,SOLE,
FASTENAL CO,311900104,9391446,441210,SOLE,
GOLDMAN SACHS GROUP INC,38141G104,715555,171340,SOLE,
GRAHAM HLDGS CO,384637104,3228,1653,SOLE,
HDFC BANK LTD,40415F101,15592,946,SOLE,
