Company,CUSIP,Shares,Value,Discretion,PutCall
ADECOAGRO SA,L00849106,563076,6289559,SOLE,
ALIBABA GROUP HOLDING LTD,01609W102,1356010,179305202,SOLE,
ALLY FINANCIAL INC,02005N100,651383,23755948,SOLE,
ALPHABET INC,02079K107,697353,108947402,SOLE,
ANALOG DEVICES INC,032654105,424025,85513154,SOLE,
ANGLOGOLD ASHANTI PLC,G0378L100,383520,14322023,SOLE,
ANHEUSER-BUSCH INBEV SA/NV,03524A108,691917,42594412,SOLE,
APPLE INC,037833100,1005,223241,SOLE,
APTIV PLC,G3265R107,860744,51214268,SOLE,
ARCELORMITTAL SA,03938L203,704291,20318803,SOLE,
ASTRAZENECA PLC,046353108,857887,63054666,SOLE,
ATOUR LIFESTYLE HOLDINGS LTD,04965M106,642536,18215896,SOLE,
AXIS CAPITAL HOLDINGS LTD,G0692U109,727094,72883913,SOLE,
B2GOLD CORP,11777Q209,94491,268521,SOLE,
BANCO BRADESCO SA,059460303,3598612,8024904,SOLE,
BARCLAYS PLC,06738E204,4511942,69303430,SOLE,
BARRICK GOLD CORP,067901108,11838827,229843231,SOLE,
BIOGEN INC,09062X103,433517,59322464,SOLE,
BP PLC,055622104,1596626,53949999,SOLE,
BRITISH AMERICAN TOBACCO PLC,110448107,608927,25191329,SOLE,
CANADIAN PACIFIC KANSAS CITY LTD,13646K108,17208788,1207605037,SOLE,
CARNIVAL CORP,143658300,26565066,518815747,SOLE,
CELESTICA INC,15101Q207,146152,11527653,SOLE,
CITIGROUP INC,172967424,1350907,95900876,SOLE,
CITIZENS FINANCIAL GROUP INC,174610105,1004199,41142044,SOLE,
COGNIZANT TECHNOLOGY SOLUTIONS CORP,192446102,917875,70217404,SOLE,
CREDICORP LTD,G2519Y108,54527,10150746,SOLE,
DEUTSCHE BANK AG,D18190898,1513500,36065687,SOLE,
DIAGEO PLC,25243Q205,306666,32135482,SOLE,
DR REDDY'S LABORATORIES LTD,256135203,144439,1905150,SOLE,
EMBRAER SA,29082A107,318335,14707077,SOLE,
FINVOLUTION GROUP,31810T101,2284493,21999668,SOLE,
GENPACT LTD,G3922B107,944660,47591992,SOLE,
GERDAU SA,373737105,2670178,7583306,SOLE,
GSK PLC,37733W204,1107923,42920943,SOLE,
HDFC BANK LTD,40415F101,127749,8487644,SOLE,
HELLO GROUP INC,423403104,2089913,13187351,SOLE,
ICICI BANK LTD,45104G104,442939,13961437,SOLE,
INFOSYS LTD,456788108,2638154,48146311,SOLE,
ING GROEP NV,456837103,1460526,28611700,SOLE,
IQIYI INC,46267X108,2896200,6545412,SOLE,
ISHARES MSCI ACWI ETF,464288257,11604,1350576,SOLE,
ISHARES MSCI EAFE ETF,464287465,6441,526391,SOLE,
ISHARES MSCI INDIA ETF,46429B598,143169,7370340,SOLE,
ISHARES MSCI INDIA SMALL-CAP ETF,46429B614,84765,5771649,SOLE,
ISHARES MSCI SAUDI ARABIA ETF,46434V423,315426,13049174,SOLE,
JD.COM INC,47215P106,1797234,73902262,SOLE,
JINKOSOLAR HOLDING CO LTD,47759T100,75084,1399566,SOLE,
JONES LANG LASALLE INC,48020Q107,140446,34817917,SOLE,
JOYY INC,46591M109,87784,3685172,SOLE,
KONINKLIJKE PHILIPS NV,500472303,1531812,38908025,SOLE,
LIVE NATION ENTERTAINMENT INC,538034109,294721,38484691,SOLE,
MAKEMYTRIP LTD,V5633W109,75621,7410102,SOLE,
MERCK & CO INC,58933Y105,897869,80592684,SOLE,
META PLATFORMS INC,30303M102,105485,60797328,SOLE,
MICROSOFT CORP,594918104,940,352867,SOLE,
NATWEST GROUP PLC,639057207,764702,9115250,SOLE,
NOVARTIS AG,66987V109,4236,472236,SOLE,
NVIDIA CORP,67066G104,4124,446959,SOLE,
ORACLE CORP,68389X105,491833,68763215,SOLE,
PDD HOLDINGS INC,722304102,105926,12536342,SOLE,
PFIZER INC,717081103,2024255,51294627,SOLE,
PG&E CORP,69331C108,2567270,44105692,SOLE,
PRUDENTIAL PLC,74435K204,2353670,50603911,SOLE,
PUMA BIOTECHNOLOGY INC,74587V107,14095,41721,SOLE,
QIFU TECHNOLOGY INC,88557W101,1307273,58709630,SOLE,
QUEST DIAGNOSTICS INC,74834L100,120400,20371692,SOLE,
RELX PLC,759530108,454346,22903572,SOLE,
SANOFI SA,80105N105,693261,38448233,SOLE,
SAP SE,803054204,155139,41645634,SOLE,
SEA LTD,81141R100,198688,25926797,SOLE,
SHELL PLC,780259305,2944,215748,SOLE,
SHINHAN FINANCIAL GROUP CO LTD,824596100,509806,16354592,SOLE,
SMITH & NEPHEW PLC,83175M205,607357,17230705,SOLE,
SMURFIT WESTROCK PLC,G8267P108,2693844,121384608,SOLE,
TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,874039100,519645,86261070,SOLE,
TD SYNNEX CORP,87162W100,131359,13656124,SOLE,
TENCENT MUSIC ENTERTAINMENT GROUP,88034P109,615153,8864355,SOLE,
VANGUARD FTSE ALL WORLD EX-US SMALL-CAP ETF,922042718,62822,7262223,SOLE,
VANGUARD FTSE ALL-WORLD EX-US ETF,922042775,6763,410216,SOLE,
VANGUARD FTSE DEVELOPED MARKETS ETF,921943858,405903,20632055,SOLE,
VANGUARD FTSE EMERGING MARKETS ETF,922042858,30533,1381924,SOLE,
VEREN INC,92340V107,263808,1744973,SOLE,
VIPSHOP HOLDINGS LTD,92763W103,726618,11393370,SOLE,
WALT DISNEY CO/THE,254687106,953852,94145154,SOLE,
WEIBO CORP,948596101,2256465,21368724,SOLE,
WHIRLPOOL CORP,963320106,363785,32787921,SOLE,
WIPRO LTD,97651M109,488806,1495746,SOLE,
ZIM INTEGRATED SHIPPING SERVICES LTD,M9T951109,678540,9899899,SOLE,
ZIMMER BIOMET HOLDINGS INC,98956P102,805509,91167554,SOLE,
