Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K107,778300,118504,SOLE
AMAZON.COM INC,023135106,541901,97748,SOLE
CHARTER COMMUNICATIONS INC N,16119P108,461645,134168,SOLE
LAM RESEARCH CORP,512807108,52530,51037,SOLE
MICROSOFT CORP,594918104,228654,96199,SOLE
MOODYS CORP,615369105,174753,68683,SOLE
TRANSDIGM GROUP INC,893641100,102682,126463,SOLE
UNION PAC CORP,907818108,74500,18322,SOLE
VERISIGN INC,92343E102,233415,44234,SOLE
VISA INC,92826C839,302167,84329,SOLE
CANADIAN PACIFIC KANSAS CITY,13646K108,440844,38869,SOLE
