Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,658726,69903960,SOLE
ALPHABET INC,02079K305,595736,98802772,SOLE
AMAZON COM INC,023135106,625328,116517292,SOLE
BIOGEN INC,09062X103,255942,49611832,SOLE
BRILLIANT EARTH GROUP INC,109504100,241445,516692,SOLE
CANADA GOOSE HLDGS INC,135086106,3726387,46691632,SOLE
CHESAPEAKE ENERGY CORP,165167735,236684,19467232,SOLE
CITIGROUP INC,172967424,1541858,96520323,SOLE
COINBASE GLOBAL INC,19260Q107,176832,31506183,SOLE
CROCS INC,227046109,380969,55168167,SOLE
CVS HEALTH CORP,126650100,769096,48360744,SOLE
DAVE & BUSTERS ENTMT INC,238337109,1300598,44285358,SOLE
DELTA AIR LINES INC DEL,247361702,1263574,64176935,SOLE
ENERGY TRANSFER L P,29273V100,5296830,85014125,SOLE
EVERI HLDGS INC,30034T103,362620,4764822,SOLE
EXPEDIA GROUP INC,30212P303,647329,95817649,SOLE
FIDELITY WISE ORIGIN BITCOIN,315948109,96851,5378136,SOLE
FISERV INC,337738108,132870,23870062,SOLE
GENERAL MTRS CO,37045V100,1550074,69505305,SOLE
IAC INC,44891N208,1663534,89531385,SOLE
ILLUMINA INC,452327109,411555,53670946,SOLE
JPMORGAN CHASE & CO.,46625H100,29386,6196412,SOLE
KOSMOS ENERGY LTD,500688106,9440022,38043286,SOLE
LENNAR CORP,526057302,12500,2161750,SOLE
MATTEL INC,577081102,2536645,48323087,SOLE
META PLATFORMS INC,30303M102,147824,84620655,SOLE
NORWEGIAN CRUISE LINE HLDG L,G66721104,2801950,57468003,SOLE
NVIDIA CORPORATION,67066G104,608728,73923879,SOLE
ONEMAIN HLDGS INC,68268W103,1413215,66520024,SOLE
PELOTON INTERACTIVE INC,70614W100,5055332,23658953,SOLE
PRECIGEN INC,74017N105,17937694,16988789,SOLE
QXO INC,82846H405,7741847,122088927,SOLE
ROYALTY PHARMA PLC,G7709Q104,2041195,57745414,SOLE
SEADRILL 2021 LTD,G7997W102,1025645,40759122,SOLE
SOFI TECHNOLOGIES INC,83406F102,5795687,45554101,SOLE
SPDR S&P 500 ETF TR,78462F103,1486,852401,SOLE
TEVA PHARMACEUTICAL INDS LTD,881624209,100000,1802000,SOLE
TRAVEL PLUS LEISURE CO,894164102,884133,40740846,SOLE
UBS GROUP AG,H42097107,2022019,62500598,SOLE
UNITED AIRLS HLDGS INC,910047109,1005557,57377058,SOLE
WESTERN ALLIANCE BANCORP,957638109,235492,20367662,SOLE
