Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,47500,4028,SOLE,
ALPHABET INC,02079K305,16000,3029,SOLE,
AMERICAN EXPRESS CO,025816109,210000,62326,SOLE,
BANK AMERICA CORP,060505104,767845,33747,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,30,20428,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,140600,63731,SOLE,
DAILY JOURNAL CORP,233912104,11500,6532,SOLE,
FERRARI N V,N3167Y103,60000,24744,SOLE,
MASTERCARD INCORPORATED,57636Q104,65750,34622,SOLE,
MICRON TECHNOLOGY INC,595112103,200000,16832,SOLE,
MOODYS CORP,615369105,27000,12781,SOLE,
ARCH RESOURCES INC,03940R107,8100,1144,SOLE,
ALPHA METALLURGICAL RESOUR I,020764106,8000,1601,SOLE,
SERITAGE GROWTH PPTYS,81752R100,500000,2060,SOLE,
