Company,CUSIP,Shares,Value,Discretion
3M Company,88579Y101,2000,293720,SOLE
Abbott Labs,002824100,1800,238770,SOLE
Abbvie,00287Y109,25847,5415463,SOLE
Adobe,00724F101,17507,6714460,SOLE
Alphabet Class A,02079K305,139687,21601198,SOLE
Alphabet Class C,02079K107,6153,961283,SOLE
Altria Group,02209S103,69779,4188136,SOLE
Amazon.com,023135106,81365,15480505,SOLE
American Express,025816109,58287,15682117,SOLE
American Tower,03027X100,48321,10514650,SOLE
Amgen,031162100,57319,17857734,SOLE
Amphenol,032095101,103562,6792632,SOLE
Ansys,03662Q105,7242,2292528,SOLE
Apple,037833100,59380,13190113,SOLE
Applied Materials,038222105,52284,7587454,SOLE
Arthur J. Gallagher,363576109,20411,7046694,SOLE
Axsome Therapeutics,05464T104,17116,1996239,SOLE
BWX Technologies,05605H100,15153,1494843,SOLE
Berkshire Hathaway B,084670702,41845,22285810,SOLE
Blackstone Group,09260D107,33697,4710167,SOLE
Bloom Energy,093712107,45969,903751,SOLE
Blueprint Medicines,09627Y109,16679,1476258,SOLE
Broadcom Limited,11135F101,71500,11971245,SOLE
CCC Intel Solutions,12510Q100,129458,1169006,SOLE
CNA Financial,126117100,97223,4937956,SOLE
Casey's General Stores,147528103,19439,8437304,SOLE
Chubb Limited,H1467J104,47820,14441162,SOLE
Constellation Energy Group,21037T109,26781,5399853,SOLE
Constellation Software,21037X100,2571,8145289,SOLE
Cooper Companies,216648501,16190,1365627,SOLE
Copart,217204106,141183,7989546,SOLE
Costco,22160K105,643,608137,SOLE
CyberArk Software,M2682V108,600,202800,SOLE
Danaher,235851102,1871,383555,SOLE
Digital Realty Trust,253868103,24731,3543705,SOLE
Dynatrace,268150109,47266,2228592,SOLE
EOG Resources,26875P101,150702,19326024,SOLE
Eaton,G29183103,41092,11170038,SOLE
Edwards Lifesciences,28176E108,3324,240924,SOLE
Eli Lilly,532457108,398,328712,SOLE
Enbridge,29250N105,94392,4182495,SOLE
Entegris,29362U104,15499,1355853,SOLE
FTI Consulting,302941109,5933,973487,SOLE
Fiserv,337738108,119130,26307478,SOLE
General Dynamics Corp,369550108,56037,15274565,SOLE
Halozyme Therapeutics,40637H109,55384,3534053,SOLE
Hewlett Packard Enterprise,42824C109,503437,7768033,SOLE
Home Depot,437076102,56940,20867941,SOLE
Honeywell,438516106,1370,290098,SOLE
JP Morgan,46625H100,62097,15232394,SOLE
Jack Henry & Associates,426281101,10421,1902875,SOLE
Johnson & Johnson,478160104,111114,18427146,SOLE
KLA,482480100,7839,5328952,SOLE
Keysight Technologies,49338L103,82945,12422673,SOLE
Lantheus Holdings,516544103,19099,1864062,SOLE
Lennar Corp Cl B,526057302,96859,10564411,SOLE
Lockheed Martin,539830109,9299,4153956,SOLE
Lonza Group ADR,54338V101,106518,6566835,SOLE
Marsh McLennan,571748102,70815,17280984,SOLE
Mastercard,57636Q104,367,201160,SOLE
Mettler Toledo,592688105,1352,1596590,SOLE
Microsoft,594918104,38456,14435998,SOLE
Monolithic Power Systems,609839105,3052,1770099,SOLE
Morgan Stanley,617446448,45313,5286668,SOLE
Motorola Solutions,620076307,566,247800,SOLE
Natera,632307104,11405,1612781,SOLE
Northrop Grumman Corp,666807102,887,454153,SOLE
O'Reilly Automotive,67103H107,4967,7115625,SOLE
Pfizer,717081103,133144,3373882,SOLE
Phillips 66,718546104,134853,16651648,SOLE
Pool,73278L105,5103,1624540,SOLE
ProLogis,74340W103,43740,4889641,SOLE
Qualcomm,747525103,1684,258679,SOLE
Qualys,74758T303,11261,1418098,SOLE
RBC Bearings,75524B104,8443,2716704,SOLE
RTX,75513E101,1689,223725,SOLE
Rocket Pharmaceuticals,77313F106,117301,782398,SOLE
Royalty Pharma Plc,G7709Q104,862018,26834620,SOLE
Ryan Specialty Holdings,78351F107,39216,2896886,SOLE
SBA Communications,78410G104,9757,2146638,SOLE
SLB,806857108,253549,10598348,SOLE
SPS Commerce,78463M107,10783,1431228,SOLE
Sapiens,G7T16G103,50581,1370239,SOLE
ServiceNow,81762P102,8032,6394596,SOLE
Sherwin-Williams,824348106,12710,4438205,SOLE
Synopsys,871607107,18054,7742458,SOLE
Texas Instruments,882508104,101098,18167311,SOLE
Thermo Fisher Scientific,883556102,403,200533,SOLE
Tradeweb Markets,892672106,18555,2754675,SOLE
Tyler Technologies,902252105,10640,6185990,SOLE
Ulta Beauty,90384S303,26952,9878986,SOLE
Union Pacific,907818108,15925,3762122,SOLE
United Rentals,911363109,660,413622,SOLE
UnitedHealth Group,91324P102,21798,11416703,SOLE
Veeva Systems,922475108,28512,6604235,SOLE
Verisk Analytics,92345Y106,22844,6798831,SOLE
Vertex Pharmaceuticals,92532F100,15721,7621855,SOLE
Visa,92826C839,22155,7764441,SOLE
W.R. Berkley,084423102,220089,15661533,SOLE
Wells Fargo,949746101,3000,215370,SOLE
iShares Russell 1000 Growth,464287614,1138,410920,SOLE
