Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,47500,5643,SOLE
ALPHABET INC,02079K305,800,2318,SOLE
AMERICAN EXPRESS CO,025816109,210000,34356,SOLE
BK OF AMERICA CORP,060505104,767845,34161,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,30,13520,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,140600,42039,SOLE
DAILY JOURNAL CORP,233912104,11500,4102,SOLE
FERRARI N V,N3167Y103,80000,20693,SOLE
MASTERCARD INC,57636Q104,65750,23625,SOLE
MICRON TECHNOLOGY INC,595112103,200000,18630,SOLE
MOODYS CORP,615369105,27000,10546,SOLE
SERITAGE GROWTH PPTYS,81752R100,500000,6635,SOLE
TWITTER INC,90184L102,30000,1297,SOLE
