Company,CUSIP,Shares,Value,Discretion
ALASKA AIR GROUP INC,011659109,319868,13751125,SOLE
AMERICAN EXPRESS CO,025816109,5166,1176247,SOLE
APPLE INC,037833100,4250,728790,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,231819,97484526,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,125,79305000,SOLE
CHEVRON CORP NEW,166764100,6036,952119,SOLE
COCA COLA CO,191216100,22425,1371962,SOLE
COSTCO WHSL CORP NEW,22160K105,4355,3190604,SOLE
CUMMINS INC,231021106,40779,12015532,SOLE
DISNEY WALT CO,254687106,131211,16054924,SOLE
DOLLAR GEN CORP NEW,256677105,419289,65434308,SOLE
DOLLAR TREE INC,256746108,91240,12148606,SOLE
DOW INC,260557103,5169,299440,SOLE
EQUINOR ASA,29446M102,258646,6991201,SOLE
EXXON MOBIL CORP,30231G102,57910,6731458,SOLE
GE HEALTHCARE TECHNOLOGIES I,36266G107,4581,416459,SOLE
GENERAL ELECTRIC CO,369604301,16559,2906601,SOLE
HF SINCLAIR CORP,403949100,274707,16584088,SOLE
KINROSS GOLD CORP,496902404,4472067,27413771,SOLE
MERCK & CO INC,58933Y105,44443,5864254,SOLE
MERCURY GENL CORP NEW,589400100,1394224,71941978,SOLE
MICROCHIP TECHNOLOGY INC.,595017104,2418,216919,SOLE
NEWMONT CORP,651639106,605447,21699222,SOLE
NIKE INC,654106103,11395,1070912,SOLE
NXP SEMICONDUCTORS N V,N6596X109,24450,6057977,SOLE
OLIN CORP,680665205,505339,29713933,SOLE
OVINTIV INC,69047Q102,16487,855675,SOLE
PARAMOUNT GLOBAL,92556H206,1477943,17395394,SOLE
PHILLIPS 66,718546104,1472,240436,SOLE
SAIA INC,78709Y105,400,234000,SOLE
SEACOR MARINE HLDGS INC,78413P101,234478,3268623,SOLE
SHELL PLC,780259305,4968,333055,SOLE
STARBUCKS CORP,855244109,116111,10611372,SOLE
TRAVELERS COMPANIES INC,89417E109,20155,4638472,SOLE
VALERO ENERGY CORP,91913Y100,40066,6838801,SOLE
WAFD INC,938824109,27072,785900,SOLE
