Company,CUSIP,Shares,Value,Discretion
BLEND LABS INC,09352U108,6629990,24862463,SOLE
COUPANG INC,22266T109,2963346,72750144,SOLE
HILTON WORLDWIDE HLDGS INC,43300A203,289420,66711310,SOLE
IAC INC,44891N208,1579928,85031725,SOLE
INTUIT,461202103,106952,66417192,SOLE
MONDAY COM LTD,M7S64H106,350530,97366718,SOLE
NCINO INC,63947X101,2653687,83829972,SOLE
PROCORE TECHNOLOGIES INC,74275K108,1438082,88758421,SOLE
SEA LTD,81141R100,943179,88922916,SOLE
SHIFT4 PMTS INC,82452J109,1319879,116941279,SOLE
