Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,150000,12718500,DFND
AMERICAN COASTAL INS CORP,910710102,146100,1966506,DFND
BAIDU INC,056752108,125000,10538750,DFND
BRUKER CORP,116794108,75000,4396500,DFND
CANADA GOOSE HLDGS INC,135086106,24838,249125,DFND
HCA HEALTHCARE INC,40412C101,15000,4502250,DFND
JD.COM INC,47215P106,300000,10401000,DFND
LAUDER ESTEE COS INC,518439104,100000,7498000,DFND
MAGNERA CORP,55939A107,200000,3634000,DFND
MOLINA HEALTHCARE INC,60855R100,25000,7276250,DFND
OSCAR HEALTH INC,687793109,200000,2688000,DFND
PDD HOLDINGS INC,722304102,75000,7274250,DFND
V F CORP,918204108,200000,4292000,DFND
