Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K107,2451300,597014115,SOLE
ALPHABET INC,02079K305,2543300,618276230,SOLE
APPLE INC,037833100,110600,28162078,SOLE
BK OF AMERICA CORP,060505104,10431387,538155255,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,897749,451334332,SOLE
EAST WEST BANCORP INC,27579R104,2776351,295542564,SOLE
OCCIDENTAL PETE CORP,674599105,1466500,69292125,SOLE
SABLE OFFSHORE CORP,78574H104,1343000,23448780,SOLE
PDD HOLDINGS INC,722304102,4608000,609039360,SOLE
