Company,CUSIP,Shares,Value,Discretion
ATS CORP,00217Y104,2486400,60773850,DFND
AUTOHOME INC,05278C107,54000,1495260,DFND
BANK OF NOVA SCOTIA,064149107,359100,17025732,DFND
BERKSHIRE HATHAWAY INC,084670108,1,798442,DFND
BLACKBERRY LTD,09228F103,46724700,175684872,DFND
CAPRI HOLDINGS LTD,G1890L107,78100,1540913,DFND
CLEVELAND-CLIFFS INC,185899101,14899273,122472024,DFND
COLLIERS INTL GROUP INC,194693107,22000,2590933,DFND
CVS HEALTH CORP,126650100,2712000,183765120,DFND
FRANCO-NEVADA CORP,351858105,16800,2637457,DFND
GARRETT MOTION INC,366505105,304360,2547493,DFND
GENERAL MOTORS CO,37045V100,375965,17674115,DFND
GENTEX CORP,371901109,85000,1979650,DFND
HELMERICH & PAYNE INC,423452101,774105,20211882,DFND
JOHNSON & JOHNSON,478160104,73400,12175592,DFND
KENNEDY-WILSON HOLDINGS INC,489398107,13322009,115501818,DFND
KKR & CO INC,48251W104,20000,2312200,DFND
KRAFT HEINZ CO,500754106,3359000,102180780,DFND
LIFEWAY FOODS INC,531914109,17367,424623,DFND
MAGNACHIP SEMICONDUCTOR CORP,55933J203,125000,428750,DFND
MERCK & CO INC,58933Y105,172900,15507401,DFND
MGM RESORTS INTERNATIONAL,552953101,29500,874675,DFND
MICRON TECHNOLOGY INC,595112103,80000,6950400,DFND
MOLSON COORS BEVERAGE CO,60871R209,1206500,73463785,DFND
OCCIDENTAL PETROLEUM CORP,674599105,6020418,297408649,DFND
ORLA MINING LTD,68634K106,56817229,527017549,DFND
PFIZER INC,717081103,650900,16487297,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,141700,23513698,DFND
UNDER ARMOUR INC,904311107,6311800,39385632,DFND
