Company,CUSIP,Shares,Value,Discretion
CAPITAL ONE FINL CORP,14040H105,686052,94983899,SOLE
CARDLYTICS INC,14161W105,6464859,53076492,SOLE
CARVANA CO,146869102,6530894,840656676,SOLE
HILTON GRAND VACATIONS INC,43283X105,6446661,260638504,SOLE
WORLD ACCEP CORPORATION,981419104,251772,31113984,SOLE
