Company,CUSIP,Shares,Value,Discretion,PutCall
ACCENTURE PLC IRELAND,G1151C101,928204,184053571,SOLE,
ALIGN TECHNOLOGY INC,016255101,1206535,206836295,SOLE,
ALPHABET INC,02079K107,950394,272630041,SOLE,
ALPHABET INC,02079K305,2117644,608949709,SOLE,
AMENTUM HOLDINGS INC,023939101,1622982,42327370,SOLE,
AMERICAN EXPRESS CO,025816109,932,281911,SOLE,
APPLE INC,037833100,961,243892,SOLE,
ATAIBECKLEY INC,04650F101,42112,149076,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,310388,148737930,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,110,78995400,SOLE,
BIO-TECHNE CORP,09073M104,3392001,177265972,SOLE,
CAPITAL ONE FINL CORP,14040H105,2017807,368108531,SOLE,
CHARTER COMMUNICATIONS INC,16119P108,152563,32935300,SOLE,
COPA HOLDINGS SA,P31076105,2555,290274,SOLE,
CREDIT ACCEP CORP MICH,225310101,146203,61911122,SOLE,
DOLLAR GEN CORP,256677105,2188,259781,SOLE,
ELEVANCE HEALTH INC FORMERLY,036752103,1387968,406327632,SOLE,
EQUITABLE HLDGS INC,29452E101,40459,1501433,SOLE,
FERGUSON ENTERPRISES INC,31488V107,1000,233260,SOLE,
GCI LIBERTY INC,36164V800,506727,18855312,SOLE,
GCI LIBERTY INC,36164V602,127548,4700144,SOLE,
GLOBUS MED INC,379577208,6008,517649,SOLE,
GROUP 1 AUTOMOTIVE INC,398905109,4013,1326818,SOLE,
ICON PLC,G4705A100,1634611,180886053,SOLE,
INTERCONTINENTAL EXCHANGE IN,45866F104,2639372,415120428,SOLE,
JACOBS SOLUTIONS INC,46982L108,6288,800337,SOLE,
KASPI KZ JSC,48581R205,4083,302428,SOLE,
LIBERTY BROADBAND CORP,530307107,223760,11237227,SOLE,
LIBERTY BROADBAND CORP,530307305,1163448,58521434,SOLE,
LIBERTY MEDIA CORP DEL,531229771,723842,56517583,SOLE,
LIBERTY MEDIA CORP DEL,531229755,5357168,455466423,SOLE,
LITHIA MTRS INC,536797103,2988,746163,SOLE,
META PLATFORMS INC,30303M102,201147,115082233,SOLE,
MICRON TECHNOLOGY INC,595112103,2162,730410,SOLE,
MICROSOFT CORP,594918104,737,272815,SOLE,
MSA SAFETY INC,553498106,1776282,291221434,SOLE,
NETFLIX INC.,64110L106,8091,777950,SOLE,
RIMINI STR INC DEL,76674Q107,35265,115669,SOLE,
S&P GLOBAL INC,78409V104,531,225856,SOLE,
SAP SE,803054204,749909,128391920,SOLE,
SCHWAB CHARLES CORP,808513105,4714780,443095024,SOLE,
SINCLAIR INC,829242106,17959,232389,SOLE,
SMITH DOUGLAS HOMES CORP,83207R107,14490,185472,SOLE,
STELLANTIS N.V,N82405106,25075,177782,SOLE,
SUNBELT RENTALS HOLDINGS INC,866966104,5488261,357230908,SOLE,
TAIWAN SEMICONDUCTOR MANUFAC,874039100,1208419,408385201,SOLE,
UNITEDHEALTH GROUP INC,91324P102,728407,197099650,SOLE,
VANGUARD INDEX FDS,922908769,2748,881586,SOLE,
VANGUARD STAR FDS,921909768,5912,455874,SOLE,
ZOETIS INC,98978V103,2425010,286660432,SOLE,
