Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,378155,55429960,SOLE
AMAZON COM INC,023135106,118438,27337859,SOLE
BLEND LABS INC,09352U108,9024099,27433261,SOLE
BRAZE INC,10576N102,1473005,50509341,SOLE
COSTAR GROUP INC,22160N109,957557,64386133,SOLE
INTUIT,461202103,50721,33598605,SOLE
LIBERTY MEDIA CORP DEL,531229755,371829,36628875,SOLE
MONDAY COM LTD,M7S64H106,253959,37474190,SOLE
OKTA INC,679295105,883441,76391143,SOLE
PROCORE TECHNOLOGIES INC,74275K108,681536,49574929,SOLE
SHIFT4 PMTS INC,82452J109,1148861,72343777,SOLE
