Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET CL A ORD,02079K305,6849259,1247592527,SOLE,
Apple,037833100,1558589,328270015,SOLE,
AUTOMATIC DATA PROCESSING,053015103,5585761,1333265293,SOLE,
BROWN FORMAN CORP CLASS B,115637209,11138751,481082656,SOLE,
CHOICE HOTELS INTERNATIONAL ORD,169905106,733892,87333148,SOLE,
CHURCH AND DWIGHT ORD,171340102,6914366,716881467,SOLE,
CLOROX COMPANY,189054109,570206,77816013,SOLE,
COGNEX CORP,192422103,1906276,89137466,SOLE,
EQUIFAX INC,294429105,458387,111140512,SOLE,
EXPONENT INC,30214U102,1018098,96841482,SOLE,
FORTINET ORD,34959E109,10285664,619916969,SOLE,
GRACO ORD,384109104,1139641,90350738,SOLE,
HOME DEPOT ORD,437076102,146200,50327888,SOLE,
IDEX ORD,45167R104,362501,72935201,SOLE,
IDEXX LABORATORIES INC,45168D104,2663192,1297507142,SOLE,
MARRIOTT INTERNATIONAL  CL A,571903202,4264511,1031030824,SOLE,
MASTERCARD CL A ORD,57636Q104,64280,28357765,SOLE,
MCCORMICK & CO NON VTG SHRS,579780206,10048497,712840377,SOLE,
MCDONALD S ORD,580135101,93371,23794666,SOLE,
META PLATFORMS INC-CLASS A,30303M102,4871364,2456239156,SOLE,
METTLER TOLEDO ORD,592688105,591575,826779304,SOLE,
MICROSOFT CORP,594918104,7140615,3191497874,SOLE,
MSCI INC,55354G100,166619,80268703,SOLE,
NIKE INC CL B,654106103,6299493,474792787,SOLE,
ODDITY TECH LTD,M7518J104,1615158,63411103,SOLE,
OTIS WORLDWIDE ORD,68902V107,6138278,590870640,SOLE,
PAYCOM SOFTWARE INC,70432V102,322611,46146277,SOLE,
PEPSICO INC,713448108,5761087,950176079,SOLE,
PHILIP MORRIS INTERNATIONAL,718172109,14474445,1466695512,SOLE,
PROCTER & GAMBLE ORD,742718109,4647218,766419193,SOLE,
QUALYS INC,74758T303,548009,78146083,SOLE,
ROLLINS ORD,775711104,1597513,77942659,SOLE,
SABRE CORP,78573M104,21499095,57402584,SOLE,
STRYKER CORP,863667101,5356264,1822468826,SOLE,
TEXAS INSTRUMENTS INC,882508104,1544781,300506248,SOLE,
VERISIGN INC,92343E102,624500,111036100,SOLE,
VERISK ANALYTICS INC,92345Y106,464051,125084947,SOLE,
VISA INC CLASS A SHARES,92826C839,5552520,1457369924,SOLE,
WATERS CORP,941848103,3654450,1060229034,SOLE,
ZOETIS CL A ORD,98978V103,228205,39561619,SOLE,
