Company,CUSIP,Shares,Value,Discretion,PutCall
APPLE INC,037833100,13000,3029,SOLE,
ABM INDS INC,000957100,189000,9972,SOLE,
AGCO CORP,001084102,12000,1174,SOLE,
APTIV PLC,G6095L109,109000,7849,SOLE,
AVANTOR INC,05352A100,235000,6079,SOLE,
AMERICAN EXPRESS CO,025816109,5000,1356,SOLE,
AXALTA COATING SYS LTD,G0750C108,103000,3728,SOLE,
BAXTER INTL INC,071813109,276000,10480,SOLE,
BECTON DICKINSON & CO,075887109,38000,9162,SOLE,
BLUE BIRD CORP,095306106,39000,1870,SOLE,
BRADY CORP,104674106,20000,1533,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,12100,5569,SOLE,
CARRIER GLOBAL CORPORATION,14448C104,13000,1046,SOLE,
CBRE GROUP INC,12504L109,71000,8838,SOLE,
CENTRAL GARDEN & PET CO,153527205,76000,2386,SOLE,
CITIZENS FINL GROUP INC,174610105,211500,8686,SOLE,
COMCAST CORP NEW,20030N101,111000,4636,SOLE,
CUMMINS INC,231021106,25000,8095,SOLE,
CISCO SYS INC,17275R102,161000,8568,SOLE,
CORTEVA INC,22052L104,162960,9580,SOLE,
CVS HEALTH CORP,126650100,165000,10375,SOLE,
CUSHMAN WAKEFIELD PLC,G2717B108,171000,2331,SOLE,
DELTA AIR LINES INC DEL,247361702,175000,8888,SOLE,
DEERE & CO,244199105,20500,8555,SOLE,
DENNYS CORP,24869P104,916400,5911,SOLE,
QUEST DIAGNOSTICS INC,74834L100,55318,8588,SOLE,
DINE BRANDS GLOBAL INC,254423106,302205,9438,SOLE,
DISNEY WALT CO,254687106,157000,15102,SOLE,
DOVER CORP,260003108,29000,5560,SOLE,
EBAY INC,278642103,66000,4297,SOLE,
EQUIFAX INC,294429105,8000,2351,SOLE,
EASTMAN CHEM CO,277432100,57500,6437,SOLE,
FIRST ADVANTAGE,31846B108,66000,1310,SOLE,
FEDEX CORP,31428X106,31500,8621,SOLE,
FIRST HAWAIIAN INC,32051X108,74000,1713,SOLE,
FISERV INC,337738108,17000,3054,SOLE,
FIDELITY NATL INFORMATION SV,31620M106,87239,7306,SOLE,
FIFTH THIRD BANCORP,316773100,165000,7069,SOLE,
FORTIVE CORP,34959J108,79500,6275,SOLE,
GENERAL DYNAMICS,369550108,15000,4533,SOLE,
GRAHAM CORP,384556106,36000,1065,SOLE,
CORNING INC,219350105,167000,7540,SOLE,
GENERAL MTRS CO,37045V100,162000,7264,SOLE,
ALPHABET INC,02079K107,37000,6186,SOLE,
GOLDMAN SACHS GROUP INC,38141G104,9200,4555,SOLE,
GATES INDUSTRIAL CORPRATIN P,G39108108,181000,3177,SOLE,
HOLOGIC INC,436440101,85000,6924,SOLE,
HOME BANCSHARES INC,436893200,66000,1788,SOLE,
