Company,CUSIP,Shares,Value,Discretion
58 COM INC,31680q104,2674638,117978,SOLE
ALIBABA GROUP HLDG LTD,01609w102,3335,470,SOLE
ALIGN TECHNOLOGY INC,016255101,40144,6026,SOLE
ALPHABET INC,02079K305,449397,417795,SOLE
ALPHABET INC,02079K107,442342,401969,SOLE
AMAZON COM INC,023135106,402054,389188,SOLE
AMERICAN ELEC PWR INC,025537101,14390,1000,SOLE
AMERICAN EXPRESS CO,025816109,13751,1158,SOLE
APPFOLIO INC,03783c100,25177,821,SOLE
ATHENAHEALTH INC,04685w103,306444,43071,SOLE
BAIDU INC,056752108,1503032,268832,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,3680,937296,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,2207099,373816,SOLE
BUILDERS FIRSTSOURCE INC,12008R107,5408465,82858,SOLE
CAPITAL ONE FINL CORP,14040H105,1600000,132192,SOLE
CARMAX INC,143130102,10149416,640022,SOLE
CHIPOTLE MEXICAN GRILL INC,169656105,507937,211353,SOLE
COCA COLA CO,191216100,46130,2069,SOLE
COSTCO WHSL CORP NEW,22160k105,23300,3726,SOLE
CREDIT ACCEP CORP MICH,225310101,1079755,277648,SOLE
CRESUD S A C I F Y A,226406106,616883,11998,SOLE
D R HORTON INC,23331a109,455000,15729,SOLE
DANAHER CORP DEL,235851102,1648054,139079,SOLE
DENTSPLY SIRONA INC,24906P109,8849888,573827,SOLE
EDISON INTL,281020107,37900,2963,SOLE
EMCOR GROUP INC,29084q100,1417571,92681,SOLE
ETSY INC,29786a106,985000,14775,SOLE
EXPEDITORS INTL WASH INC,302130109,7209,407,SOLE
EXXON MOBIL CORP,30231g102,4185,338,SOLE
FACEBOOK INC,30303m102,304624,45992,SOLE
FASTENAL CO,311900104,12924,563,SOLE
FIAT CHRYSLER AUTOMOBILES N,n31738102,20031657,212937,SOLE
GOLDMAN SACHS GROUP INC,38141g104,608601,135049,SOLE
HDFC BANK LTD,40415f101,13180,1146,SOLE
IAC INTERACTIVECORP,44919P508,1205205,124425,SOLE
IDEXX LABS INC,45168D104,3365,543,SOLE
INTERACTIVE BROKERS GROUP IN,45841n107,1508433,56446,SOLE
IRSA INVERSIONES Y REP S A,450047204,465000,11216,SOLE
JACOBS ENGR GROUP INC DEL,469814107,5205567,283131,SOLE
JD COM INC,47215P106,3000000,117660,SOLE
JPMORGAN CHASE & CO,46625h100,6713,614,SOLE
LENNOX INTL INC,526107107,1903,349,SOLE
LIBERTY MEDIA CORP DELAWARE,531229870,124994,4379,SOLE
LIBERTY MEDIA CORP DELAWARE,531229854,14777202,541141,SOLE
MASTERCARD INCORPORATED,57636q104,4779519,580473,SOLE
MERITAGE HOMES CORP,59001a102,315000,13293,SOLE
MOHAWK INDS INC,608190104,1312851,317303,SOLE
O REILLY AUTOMOTIVE INC NEW,67103h107,1598775,349716,SOLE
OMNICOM GROUP INC,681919106,3869993,320822,SOLE
PRICELINE GRP INC,741503403,175279,327863,SOLE
PRIMERICA INC,74164M108,2008377,152135,SOLE
PROCTER AND GAMBLE CO,742718109,42481,3702,SOLE
PROGRESSIVE CORP OHIO,743315103,17557,774,SOLE
RYANAIR HLDGS PLC,783513203,5081,547,SOLE
SCHWAB CHARLES CORP NEW,808513105,8214679,352903,SOLE
SIGNET JEWELERS LIMITED,G81276100,65091,4116,SOLE
SPS COMM INC,78463M107,509201,32467,SOLE
THIRD PT REINS LTD,g8827u100,3029190,42106,SOLE
TIME WARNER INC,887317303,43072,4325,SOLE
TJX COS INC NEW,872540109,9188711,663149,SOLE
TOLL BROTHERS INC,889478103,270000,10668,SOLE
TRIMBLE INC,896239100,12399,442,SOLE
TRUPANION INC,898202106,1795300,40179,SOLE
UNION PAC CORP,907818108,41235,4491,SOLE
VISA INC,92826C839,2559878,240065,SOLE
WATERS CORP,941848103,1788992,328888,SOLE
WAYFAIR INC,94419L101,215316,16553,SOLE
WELLS FARGO CO NEW,949746101,4910081,272068,SOLE
WEST PHARMACEUTICAL SVSC INC,955306105,42794,4045,SOLE
JPMORGAN CHASE & CO,46634e114,600000,30174,SOLE
