Company,CUSIP,Shares,Value,Discretion
EQUITABLE HLDGS INC,29452E101,6000000,252180000,SOLE
GROUP 1 AUTOMOTIVE INC,398905109,568424,217729129,SOLE
LITHIA MTRS INC,536797103,700000,222348000,SOLE
NEBIUS GROUP N.V.,N97284108,5500000,44000000,SOLE
RIMINI STR INC DEL,76674Q107,5913199,10939418,SOLE
STELLANTIS N.V,N82405106,9000000,126450000,SOLE
