Company,CUSIP,Shares,Value,Discretion,PutCall
3M Co.,88579Y101,27840,3805728,SOLE,
Abbott Labs,002824100,103378,11786126,SOLE,
AbbVie Inc.,00287Y109,22227,4389388,SOLE,
Accenture plc Class A,G1151C101,2312038,817259192,SOLE,
"Adobe Systems,  Inc.",00724F101,43992,22778178,SOLE,
Air Products & Chemicals,009158106,13170,3921236,SOLE,
Alphabet Inc Cap Stk Cl A,02079K305,3746210,621308929,SOLE,
Amphenol Corp,032095101,3095660,201713206,SOLE,
AON plc Registered Shs,G0403H108,8760,3030872,SOLE,
"Apple, Inc.",037833100,3667698,854573634,SOLE,
"Automatic Data Processing, Inc",053015103,1755115,485692974,SOLE,
Ball Corporation,058498106,2287380,155335976,SOLE,
Becton Dickinson & Co.,075887109,38662,9321408,SOLE,
Best Buy Co. Inc.,086516101,56875,5875188,SOLE,
Booz Allen Hamilton Holding Co,099502106,43060,7008446,SOLE,
Bristol Myers Squibb Co.,110122108,26375,1364643,SOLE,
Broadridge Financial Solutions,11133T103,1643215,353340521,SOLE,
Campbell Soup Company,134429109,125028,6116370,SOLE,
Charles River Laboratories,159864107,12180,2399095,SOLE,
Church & Dwight Co Inc,171340102,56010,5865367,SOLE,
Clorox Company,189054109,58155,9474031,SOLE,
Coca-Cola Company,191216100,126228,9070744,SOLE,
Cognizant Technology Solutions,192446102,125609,9694503,SOLE,
Colgate Palmolive Co,194162103,97759,10148362,SOLE,
Copart Inc. (DE),217204106,3536233,185298609,SOLE,
Crown Holdings Inc.,228368106,100918,9676018,SOLE,
Donaldson Co. Inc.,257651109,67040,4940848,SOLE,
Ecolab Inc,278865100,70364,17966040,SOLE,
Emerson Elec Co,291011104,93430,10218439,SOLE,
Encompass Health Corp,29261A100,92210,8911174,SOLE,
Equifax Inc,294429105,1241945,364957958,SOLE,
F5 Networks Inc.,315616102,24940,5491788,SOLE,
FactSet Research Systems Inc.,303075105,12000,5518200,SOLE,
General Mills Inc.,370334104,130715,9653303,SOLE,
Genpact Limited,G3922B107,189985,7449312,SOLE,
Gentex Corporation,371901109,172120,5110243,SOLE,
Genuine Parts Company,372460105,48430,6764702,SOLE,
Home Depot Inc.,437076102,490113,198593788,SOLE,
Idexx Laboratories Inc.,45168D104,8090,4087230,SOLE,
Intuit Inc.,461202103,983290,610623090,SOLE,
Johnson & Johnson,478160104,1688595,273653706,SOLE,
Kellanova,487836108,14127,1140190,SOLE,
"Keysight Technologies, Inc.",49338L103,37610,5977357,SOLE,
KLA Corporation,482480100,541255,419153285,SOLE,
Kroger Company,501044101,120630,6912099,SOLE,
"Labcorp Holdings, Inc.",504922105,36590,8177133,SOLE,
Lennox International Inc.,526107107,8200,4955178,SOLE,
Levi Strauss & Co,52736R102,200970,4381146,SOLE,
Linde plc,G54950103,1505,717674,SOLE,
"Manhattan Associates, Inc.",562750109,19530,5495351,SOLE,
Marriott International Inc,571903202,3190,793034,SOLE,
Marsh & McLennan Company Inc,571748102,3050831,680609888,SOLE,
Mastercard Inc,57636Q104,954574,471368641,SOLE,
"MAXIMUS, Inc.",577933104,44220,4119535,SOLE,
McDonald's Corp.,580135101,617182,187938091,SOLE,
Microchip Technology Inc,595017104,46850,3761587,SOLE,
Microsoft Corp,594918104,2121385,912831966,SOLE,
"MSCI, Inc.",55354G100,10350,6033326,SOLE,
Nike Inc,654106103,3435198,303671503,SOLE,
Omnicom Group Inc,681919106,79266,8195312,SOLE,
ON Semiconductor Corp,682189105,40710,2955953,SOLE,
Oracle Corp,68389X105,149084,25403914,SOLE,
Paychex Inc.,704326107,9830,1319088,SOLE,
PepsiCo Inc.,713448108,2591236,440639682,SOLE,
Pool Corporation,73278L105,4750,1789800,SOLE,
Procter & Gamble Co,742718109,1843369,319271511,SOLE,
Raytheon Technologies Corp,75513E101,17756,2151317,SOLE,
Sherwin-Williams Co,824348106,541451,206655603,SOLE,
Solventum Corp.,83444M101,6635,462592,SOLE,
Starbucks Corp,855244109,1317511,128444147,SOLE,
Stryker Corp,863667101,1833422,662342032,SOLE,
T Rowe Price Group Inc,74144T108,31950,3480314,SOLE,
Techne Corp,09073M104,54760,4376967,SOLE,
Texas Instruments Inc,882508104,1861240,384476347,SOLE,
TJX Companies Inc,872540109,27951,3285361,SOLE,
Toro Company,891092108,45550,3950552,SOLE,
Tractor Supply Co,892356106,25230,7340164,SOLE,
"Ulta Beauty, Inc.",90384S303,11330,4408730,SOLE,
United Parcel Svc Cl B,911312106,23814,3246801,SOLE,
"United Rentals, Inc.",911363109,4650,3765245,SOLE,
Unitedhealth Group Inc,91324P102,727035,425082532,SOLE,
Veeva Systems Inc. Class A,922475108,23251,4879687,SOLE,
Verisk Analytics Inc,92345Y106,698267,187107625,SOLE,
Waste Management,94106L109,1501810,311775756,SOLE,
Waters Corp,941848103,47952,17257445,SOLE,
"Zoetis, Inc.",98978V103,2150370,420139291,SOLE,
Taiwan Semiconductor Manuf,874039100,20368,3537311,SOLE,
