Company,CUSIP,Shares,Value,Discretion
ALLY FINL INC,02005N100,10000,355900,SOLE
ALPHABET INC,02079K305,21858,3625149,SOLE
ALPHABET INC,02079K107,3790,633650,SOLE
AMAZON COM INC,023135106,1400,260862,SOLE
ANTERO MIDSTREAM CORP,03676B102,1898932,28578927,SOLE
APOLLO GLOBAL MGMT INC,03769M106,2277466,284478278,SOLE
AUTONATION INC,05329W102,972309,173965526,SOLE
BANK AMERICA CORP,060505104,22532,894070,SOLE
COMCAST CORP NEW,20030N101,31094,1298796,SOLE
D R HORTON INC,23331A109,803061,153199947,SOLE
DISCOVER FINL SVCS,254709108,3454706,484660705,SOLE
DOLLAR TREE INC,256746108,7126,501100,SOLE
ELEVANCE HEALTH INC,036752103,1641413,853534760,SOLE
F&G ANNUITIES & LIFE INC,30190A104,5456170,243999923,SOLE
FIDELITY NATIONAL FINANCIAL,31620R303,6010352,373002445,SOLE
HCA HEALTHCARE INC,40412C101,3373,1370888,SOLE
JPMORGAN CHASE & CO.,46625H100,5643,1189883,SOLE
LENNAR CORP,526057104,1780852,333874133,SOLE
LITHIA MTRS INC,536797103,854551,271439580,SOLE
MARRIOTT INTL INC NEW,571903202,1194,296828,SOLE
MASTERCARD INCORPORATED,57636Q104,422,208384,SOLE
MICROSOFT CORP,594918104,525,225907,SOLE
MOODYS CORP,615369105,471,223532,SOLE
MPLX LP,55336V100,4432966,197089668,SOLE
ONEMAIN HLDGS INC,68268W103,7402222,348422590,SOLE
PRIMERICA INC,74164M108,1460171,387164341,SOLE
PROGRESSIVE CORP,743315103,1746,443065,SOLE
RYANAIR HOLDINGS PLC,783513203,5104019,230599578,SOLE
S&P GLOBAL INC,78409V104,401,207165,SOLE
TD SYNNEX CORPORATION,87162W100,3695615,443769449,SOLE
TEXAS INSTRS INC,882508104,1010,208636,SOLE
UNITEDHEALTH GROUP INC,91324P102,499,291755,SOLE
