Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,301400,28928372,SOLE,
ALPHABET INC,02079K107,1968600,695565438,SOLE,
APPLE INC,037833100,27098707,7841281858,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,9229696,4618447581,SOLE,
CIRCLE INTERNET GROUP INC,172573107,200000,12526000,SOLE,
CREDO TECHNOLOGY GROUP HOLDI,G25457105,701200,190691340,SOLE,
DISNEY WALT CO,254687106,1706600,164260250,SOLE,
INNODATA INC,457642205,10000,755800,SOLE,
MICROSOFT CORP,594918104,754100,281294382,SOLE,
NVIDIA CORPORATION,67066G104,6280675,1256700261,SOLE,
OCCIDENTAL PETE CORP,674599105,10261500,498401055,SOLE,
PALANTIR TECHNOLOGIES INC,69608A108,60000,7000200,SOLE,
PDD HOLDINGS INC,722304102,25022094,1908685330,SOLE,
SNOWFLAKE INC,833445109,10000,2545000,SOLE,
SYNOPSYS INC,871607107,10000,4460700,SOLE,
TEMPUS AI INC,88023B103,20000,1158600,SOLE,
TESLA INC,88160R101,3380400,1421796240,SOLE,
UNITEDHEALTH GROUP INC,91324P102,399600,166085748,SOLE,
