Company,CUSIP,Shares,Value,Discretion,PutCall
Bank of America Corp,060505104,2000000,87900000,SOLE,
Wells Fargo & Co,949746101,1413000,99249120,SOLE,
Alibaba Group Holding Ltd,01609W102,195000,16534050,SOLE,
US Bancorp,902973304,119500,5715685,SOLE,
