Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,47500,5168,SOLE,
ALPHABET INC,02079K305,800,2225,SOLE,
AMERICAN EXPRESS CO,025816109,210000,39270,SOLE,
BK OF AMERICA CORP,060505104,767845,31651,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,30,15868,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,140600,49619,SOLE,
DAILY JOURNAL CORP,233912104,11500,3588,SOLE,
FERRARI N V,N3167Y103,80000,17592,SOLE,
MASTERCARD INC,57636Q104,65750,23498,SOLE,
MICRON TECHNOLOGY INC,595112103,200000,15578,SOLE,
MOODYS CORP,615369105,27000,9110,SOLE,
SERITAGE GROWTH PPTYS,81752R100,500000,6330,SOLE,
TWITTER INC,90184L102,30000,1161,SOLE,
