Company,CUSIP,Shares,Value,Discretion
ACCENTURE PLC IRELAND,G1151C101,1,247,SOLE
ACCENTURE PLC IRELAND,G1151C101,159399,39307793,DFND
ACUITY INC,00508Y102,9750,3357803,DFND
ADOBE INC,00724F101,14000,4938500,DFND
AIR PRODS & CHEMS INC,009158106,65000,17726800,DFND
AIRBNB INC,009066101,227133,27578489,DFND
ALLSTATE CORP,020002101,154550,33174158,DFND
ALPHABET INC,02079K305,72000,17503200,SOLE
ALPHABET INC,02079K107,297230,72390367,SOLE
ALPHABET INC,02079K305,500000,121550000,DFND
ALPHABET INC,02079K107,2452630,597338036,DFND
AMAZON COM INC,023135106,148432,32591214,SOLE
AMAZON COM INC,023135106,1882328,413302760,DFND
AMERICAN EXPRESS CO,025816109,10000,3321600,SOLE
AMERICAN EXPRESS CO,025816109,474250,157526879,DFND
ANALOG DEVICES INC,032654105,11000,2702700,SOLE
ANALOG DEVICES INC,032654105,1156671,284194065,DFND
AON PLC,G0403H108,1500,534870,SOLE
AON PLC,G0403H108,128300,45749214,DFND
APOLLO GLOBAL MGMT INC,03769M106,22500,2998575,SOLE
APOLLO GLOBAL MGMT INC,03769M106,990000,131937300,DFND
APPLE INC,037833100,48200,12273166,SOLE
APPLE INC,037833100,1179090,300231686,DFND
APPLIED MATLS INC,038222105,26250,5374425,DFND
ARCHER DANIELS MIDLAND CO,039483102,170727,10199231,SOLE
ARCHER DANIELS MIDLAND CO,039483102,1335073,79757261,DFND
BANK NEW YORK MELLON CORP,064058100,121500,13238640,DFND
BERKLEY W R CORP,084423102,60750,4654666,DFND
BERKSHIRE HATHAWAY INC DEL,084670108,590,444978000,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,1104460,555256221,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,524,395200800,DFND
BERKSHIRE HATHAWAY INC DEL,084670702,427511,214926879,DFND
BLACKROCK INC,09290D101,12000,13990440,SOLE
BLACKROCK INC,09290D101,208200,242734134,DFND
BLACKSTONE INC,09260D107,34500,5894325,SOLE
BLACKSTONE INC,09260D107,1194500,204080326,DFND
BROOKFIELD ASSET MANAGMT LTD,113004105,1238500,70520190,SOLE
BROOKFIELD ASSET MANAGMT LTD,113004105,955453,54403493,DFND
BROOKFIELD CORP,11271J107,3172138,217545225,SOLE
BROOKFIELD CORP,11271J107,5543603,380180293,DFND
BROWN FORMAN CORP,115637100,164600,4429386,SOLE
BROWN FORMAN CORP,115637209,145400,3937432,SOLE
BROWN FORMAN CORP,115637100,678400,18255745,DFND
BROWN FORMAN CORP,115637209,328787,8903552,DFND
BRUNSWICK CORP,117043109,33500,2118540,DFND
CANADIAN NATL RY CO,136375102,25000,2357500,DFND
CANADIAN PACIFIC KANSAS CITY,13646K108,31000,2309190,DFND
CAPITAL ONE FINL CORP,14040H105,7500,1594350,SOLE
CAPITAL ONE FINL CORP,14040H105,83500,17750430,DFND
CARLYLE GROUP INC,14316J108,44500,2790150,SOLE
CARLYLE GROUP INC,14316J108,1282500,80412750,DFND
CARMAX INC,143130102,7000,314090,SOLE
CARMAX INC,143130102,129500,5810665,DFND
CARRIER GLOBAL CORPORATION,14448C104,54600,3259620,SOLE
CARRIER GLOBAL CORPORATION,14448C104,180400,10769880,DFND
CATERPILLAR INC,149123101,10001,4771977,SOLE
CATERPILLAR INC,149123101,318649,152043372,DFND
CBOE GLOBAL MKTS INC,12503M108,28500,6989625,DFND
CHOICE HOTELS INTL INC,169905106,115500,12348105,DFND
CISCO SYS INC,17275R102,148000,10126160,SOLE
CISCO SYS INC,17275R102,207500,14197150,DFND
CME GROUP INC,12572Q105,32000,8646080,DFND
COMCAST CORP NEW,20030N101,133100,4182002,SOLE
COMCAST CORP NEW,20030N101,828780,26040268,DFND
COMFORT SYS USA INC,199908104,13000,10727340,DFND
COSTCO WHSL CORP NEW,22160K105,39150,36238414,DFND
CROWN HLDGS INC,228368106,3000,289770,SOLE
CROWN HLDGS INC,228368106,186500,18014035,DFND
CSX CORP,126408103,285000,10120350,DFND
DEERE & CO,244199105,877900,401428555,DFND
DIAGEO PLC,25243Q205,585314,55856515,SOLE
DIAGEO PLC,25243Q205,781394,74568428,DFND
DISNEY WALT CO,254687106,454237,52010137,SOLE
DISNEY WALT CO,254687106,1577428,180615508,DFND
DOLLAR GEN CORP NEW,256677105,3500,361725,SOLE
DOLLAR GEN CORP NEW,256677105,865750,89475262,DFND
DOMINOS PIZZA INC,25754A201,5500,2374405,DFND
EAGLE MATLS INC,26969P108,14750,3437340,DFND
EASTMAN CHEM CO,277432100,4000,252200,SOLE
EASTMAN CHEM CO,277432100,70950,4473398,DFND
ECOLAB INC,278865100,23000,6298780,SOLE
ECOLAB INC,278865100,251300,68821018,DFND
EQUIFAX INC,294429105,72850,18688211,DFND
EXXON MOBIL CORP,30231G102,3000,338250,DFND
FACTSET RESH SYS INC,303075105,23000,6589270,SOLE
FACTSET RESH SYS INC,303075105,93720,26849843,DFND
FEDEX CORP,31428X106,4000,943240,SOLE
FEDEX CORP,31428X106,209000,49284290,DFND
FERGUSON ENTERPRISES INC,31488V107,147000,33013260,DFND
FRANCO NEV CORP,351858105,605500,134972006,DFND
GENERAL DYNAMICS CORP,369550108,44000,15004000,SOLE
GENERAL DYNAMICS CORP,369550108,347000,118327000,DFND
GOLDMAN SACHS GROUP INC,38141G104,23650,18833678,SOLE
GOLDMAN SACHS GROUP INC,38141G104,335710,267342660,DFND
GRAHAM HLDGS CO,384637104,5200,6122012,DFND
HAGERTY INC,405166109,3108000,37451400,SOLE
HANOVER INS GROUP INC,410867105,6000,1089780,SOLE
HANOVER INS GROUP INC,410867105,275000,49948250,DFND
HCA HEALTHCARE INC,40412C101,75213,32055781,DFND
HEICO CORP NEW,422806208,12202,3100406,SOLE
HEICO CORP NEW,422806208,367442,93363338,DFND
HERSHEY CO,427866108,54500,10194225,DFND
HEXCEL CORP NEW,428291108,38000,2382600,SOLE
HEXCEL CORP NEW,428291108,151000,9467700,DFND
HOME DEPOT INC,437076102,276906,112199542,SOLE
HOME DEPOT INC,437076102,643094,260575258,DFND
HUNTINGTON INGALLS INDS INC,446413106,20500,5902155,DFND
ILLINOIS TOOL WKS INC,452308109,16851,4394067,SOLE
ILLINOIS TOOL WKS INC,452308109,310649,81004833,DFND
INSPERITY INC,45778Q107,131728,6481018,DFND
INTERCONTINENTAL EXCHANGE IN,45866F104,5620,946858,DFND
INVESTORS TITLE CO NC,461804106,213300,57128139,DFND
IQVIA HLDGS INC,46266C105,46900,8908186,DFND
JOHNSON & JOHNSON,478160104,26715,4953495,SOLE
JOHNSON & JOHNSON,478160104,584085,108301041,DFND
JPMORGAN CHASE & CO.,46625H100,252550,79661847,DFND
KKR & CO INC,48251W104,18000,2339100,SOLE
KKR & CO INC,48251W104,1433800,186322311,DFND
LAMAR ADVERTISING CO NEW,512816109,170000,20811400,DFND
LINDE PLC,G54950103,7400,3515000,SOLE
LINDE PLC,G54950103,185450,88088750,DFND
LOCKHEED MARTIN CORP,539830109,62263,31082313,DFND
LOWES COS INC,548661107,61748,15517890,SOLE
LOWES COS INC,548661107,664982,167116627,DFND
LPL FINL HLDGS INC,50212V100,2289,761527,SOLE
LPL FINL HLDGS INC,50212V100,551032,183322837,DFND
MARRIOTT INTL INC NEW,571903202,73250,19077230,DFND
MARSH & MCLENNAN COS INC,571748102,20500,4131365,SOLE
MARSH & MCLENNAN COS INC,571748102,734500,148023786,DFND
MASTERCARD INCORPORATED,57636Q104,19984,11367099,SOLE
MASTERCARD INCORPORATED,57636Q104,187556,106683728,DFND
META PLATFORMS INC,30303M102,21610,15869952,SOLE
META PLATFORMS INC,30303M102,258671,189962809,DFND
MGM RESORTS INTERNATIONAL,552953101,87500,3032750,DFND
MICROSOFT CORP,594918104,23619,12233461,SOLE
MICROSOFT CORP,594918104,508461,263357376,DFND
MOODYS CORP,615369105,21096,10051822,SOLE
MOODYS CORP,615369105,192794,91862485,DFND
MSCI INC,55354G100,1000,567410,SOLE
MSCI INC,55354G100,141850,80487109,DFND
NIKE INC,654106103,46000,3207580,SOLE
NIKE INC,654106103,401400,27989622,DFND
NORFOLK SOUTHN CORP,655844108,29000,8711890,SOLE
NORFOLK SOUTHN CORP,655844108,227500,68343275,DFND
NOVO-NORDISK A S,670100205,1191840,66135201,SOLE
NOVO-NORDISK A S,670100205,1176809,65301132,DFND
NVR INC,62944T105,175,1406066,SOLE
NVR INC,62944T105,11722,94182285,DFND
OLD DOMINION FREIGHT LINE IN,679580100,6000,844680,SOLE
OLD DOMINION FREIGHT LINE IN,679580100,352750,49660145,DFND
