Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,2124130,402097809,SOLE,
ASBURY AUTOMOTIVE GROUP INC,043436104,2108540,512438476,SOLE,
CANTALOUPE INC,138103106,7180000,68281800,SOLE,
COUPANG INC,22266T109,13017964,286134849,SOLE,
ENERGY TRANSFER L P,29273V100,17834322,349374368,SOLE,
LITHIA MTRS INC,536797103,2391188,854682327,SOLE,
LOAR HOLDINGS INC,53947R105,37427917,2766297345,SOLE,
META PLATFORMS INC,30303M102,557752,326569374,SOLE,
NUVATION BIO INC,67080N101,3811513,10138625,SOLE,
TEMPUR SEALY INTL INC,88023U101,3600000,204084000,SOLE,
U HAUL HOLDING COMPANY,023586100,36401,2514945,SOLE,
U HAUL HOLDING COMPANY,023586506,3251469,208256589,SOLE,
WILLIS TOWERS WATSON PLC LTD,G96629103,720779,225776814,SOLE,
