Company,CUSIP,Shares,Value,Discretion
APPLE INC,037833100,2400,652464,SOLE
BANK OZK,06417N103,913652,42046274,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,1,754800,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,48012,24133232,SOLE
CF INDS HLDGS INC,125269100,54700,4230498,SOLE
DIAMONDBACK ENERGY INC,25278X109,4000,601320,SOLE
ENERGY TRANSFER L P,29273V100,166600,2747234,SOLE
ENTERPRISE PRODS PARTNERS L,293792107,5450400,174739824,SOLE
EOG RES INC,26875P101,2000,210020,SOLE
NATURAL RESOURCE PARTNERS L,63900P608,12000,1252800,SOLE
OCCIDENTAL PETE CORP,674599105,69100,2841392,SOLE
PROGRESSIVE CORP,743315103,25600,5829632,SOLE
ST JOE CO,790148100,19422467,1153111866,SOLE
TARGET CORP,87612E106,23000,2248250,SOLE
WR BERKLEY CORP,084423102,260150,18241718,SOLE
