Company,CUSIP,Shares,Value,Discretion,PutCall
BLEND LABS INC,09352U108,8911039,29851981,SOLE,
BRAZE INC,10576N102,2373386,85631767,SOLE,
COSTAR GROUP INC,22160N109,1148302,90979967,SOLE,
HILTON WORLDWIDE HLDGS INC,43300A203,179612,40870711,SOLE,
INTUIT,461202103,166936,102497035,SOLE,
MONDAY COM LTD,M7S64H106,378711,92087367,SOLE,
NCINO INC,63947X101,3651918,100318187,SOLE,
PROCORE TECHNOLOGIES INC,74275K108,1437331,94892593,SOLE,
SHIFT4 PMTS INC,82452J109,898874,73446995,SOLE,
VERTEX INC,92538J106,490162,17160572,SOLE,
