Company,CUSIP,Shares,Value,Discretion
Adobe Inc,00724F101,34495,17861,DFND
Ameris Bancorp,03076K108,154000,9608,DFND
Arcellx Inc,03940C100,74100,6188,DFND
Arm Holdings Plc,042068205,21610,3090,DFND
Ars Pharmaceuticals Inc,82835W108,536900,7785,DFND
Ascendis Pharma A/S,04351P101,265040,39573,DFND
Autodesk Inc,052769106,36400,10027,DFND
Banco Macro Sa,05961W105,424130,26932,DFND
Barclays Plc,06738E204,2007755,24394,DFND
Bicycle Therapeutics Plc,088786108,190200,4304,DFND
Broadcom Inc,11135F101,239980,41397,DFND
Camden Ppty Tr,133131102,290915,35937,DFND
Chubb Limited,H1467J104,34800,10036,DFND
Citigroup Inc,172967424,327400,20495,DFND
Citizens Finl Group Inc,174610105,238600,9799,DFND
Coherent Corp,19247G107,2978530,264821,DFND
Core & Main Inc,21874C102,475195,21099,DFND
Coupang Inc,22266T109,11696092,287139,DFND
Crh Plc,G25508105,162500,15070,DFND
Crinetics Pharmaceuticals In,22663K107,309000,15790,DFND
Daktronics Inc,234264109,2568355,33157,DFND
Discover Finl Svcs,254709108,284865,39964,DFND
First Ctzns Bancshares Inc N,31946M103,5183,9542,DFND
First Horizon Corporation,320517105,619700,9624,DFND
Flex Ltd,Y2573F102,348900,11664,DFND
Flutter Entmt Plc,G3643J108,260953,61820,DFND
Freeport-Mcmoran Inc,35671D857,1376935,68737,DFND
Ge Vernova Inc,36828A101,29250,7458,DFND
Global X Fds,37950E259,282000,18697,DFND
Grupo Financiero Galicia S.A,399909100,355263,14953,DFND
Huntington Bancshares Inc,446150104,671200,9867,DFND
Ihs Holding Limited,G4701H109,770310,2303,DFND
Insmed Inc,457669307,20000,1460,DFND
Invivyd Inc,00534A102,571425,583,DFND
Joby Aviation Inc,G65163100,22492,113,DFND
Keycorp,493267108,583900,9780,DFND
Kinder Morgan Inc Del,49456B101,2612000,57699,DFND
M & T Bk Corp,55261F104,56200,10010,DFND
Mercadolibre Inc,58733R102,48110,98720,DFND
Microsoft Corp,594918104,43095,18544,DFND
Mid-Amer Apt Cmntys Inc,59522J103,238720,37933,DFND
Natera Inc,632307104,3566850,452812,DFND
Newamsterdam Pharma Company,N62509109,287535,4773,DFND
Nurix Therapeutics Inc,67080M103,44200,993,DFND
Nvent Electric Plc,G6700G107,451065,31692,DFND
Palantir Technologies Inc,69608A108,41710,1552,DFND
Palo Alto Networks Inc,697435105,43712,14941,DFND
Philip Morris Intl Inc,718172109,1134635,137745,DFND
Philip Morris Intl Inc,718172109,472200,57325,DFND
Seagate Technology Hldngs Pl,G7997R103,1640369,179670,DFND
Seagate Technology Hldngs Pl,G7997R103,263000,28806,DFND
Silence Therapeutics Plc,82686Q101,387400,7043,DFND
Spdr Ser Tr,78464A698,2053323,116218,DFND
Springworks Therapeutics Inc,85205L107,705066,22590,DFND
Starbucks Corp,855244109,52305,5099,DFND
Taiwan Semiconductor Mfg Ltd,874039100,57355,9961,DFND
Tc Energy Corp,87807B107,115400,5485,DFND
Teck Resources Ltd,878742204,1017085,53133,DFND
Terawulf Inc,88080T104,2944451,13780,DFND
Teva Pharmaceutical Inds Ltd,881624209,1427950,25732,DFND
Tpg Inc,872657101,217500,12519,DFND
Trisalus Life Sciences Inc,89680M101,426921,1968,DFND
Truist Finl Corp,89832Q109,233500,9987,DFND
Ultragenyx Pharmaceutical In,90400D108,85445,4746,DFND
United States Stl Corp,912909108,663090,23427,DFND
Us Bancorp Del,902973304,217400,9942,DFND
Vaxcyte Inc,92243G108,42965,4910,DFND
Verona Pharma Plc,925050106,686045,19738,DFND
Vistra Corp,92840M102,391355,46391,DFND
Wabtec,929740108,179650,32655,DFND
Western Digital Corp.,958102105,71405,4876,DFND
Woodward Inc,980745103,1057715,181409,DFND
Xpo Inc,983793100,46500,4999,DFND
Ypf Sociedad Anonima,984245100,430100,9122,DFND
Zoominfo Technologies Inc,98980F104,2140726,22092,DFND
